"rectal_temperature";"pulse";"respiratory_rate";"packed_cell_volume";"total_protein";"surgery";"Age";"temp_extremities";"peripheral_pulse";"mucous_membranes";"capillary_refill_time";"pain";"peristalsis";"abdominal_distension";"nasogastric_tube";"nasogastric_reflux";"rectal_examination";"abdomen";"outcome";"surgical_lesion"
36,4;98;35;47;6,4;"yes";"adult";"cool";"reduced";"pale cyanotic";"<3";"intermittent severe pain";"hypomotile";"slight";"slight";"none";"absent";"distended small intestine";"died";"yes"
32,2261049837996;36;12;44;64,2829611764546;"yes";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"normal";"none";"none";"none";"normal";"distended large intestine";"lived";"yes"
38,6;68;20;38;6,5;"no";"adult";"warm";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"none";"normal";"distended large intestine";"lived";"no"
38,4;54;24;49;7,2;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"decreased";"other";"lived";"no"
40,8955572384873;88;40;50;7,7;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"moderate";"significant";"none";"absent";"distended large intestine";"died";"yes"
38,2;76;31,4124716984206;35;6,5;"yes";"adult";"warm";"reduced";"bright pink";"<3";"continuous severe pain";"hypomotile";"moderate";"none";">1l";"normal";"distended large intestine";"lived";"yes"
37,8;48;32;37;6,7;"no";"adult";"normal";"normal";"pale pink";"<3";"depressed";"hypermotile";"none";"none";"none";"absent";"distended large intestine";"lived";"no"
37,8;30;12;30,5979064335422;69,6085166793335;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"yes"
45,9697491929584;112;13;60;6,3;"yes";"adult";"cold";"absent";"pale cyanotic";"<3";"depressed";"hypomotile";"none";"slight";"none";"absent";"distended small intestine";"lived";"yes"
38,5;60;20;63;7,5;"no";"adult";"normal";"normal";"bright red";">=3";"depressed";"normal";"none";"slight";"none";"increased";"firm feces in large intestine";"euthanized";"no"
38,4;84;30;47;7,5;"yes";"adult";"cool";"normal";"bright red";">=3";"intermittent severe pain";"hypomotile";"moderate";"slight";"<1l";"absent";"distended small intestine";"died";"yes"
40,4306249859016;60;36;26;72;"yes";"adult";"cool";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"none";"decreased";"distended small intestine";"lived";"yes"
38,5;60;28,1869022575838;44;7,7;"no";"adult";"warm";"increased";"normal pink";"<3";"alert no pain";"normal";"slight";"slight";"none";"normal";"normal";"lived";"no"
38,4;80;60;54;6,9;"no";"adult";"cool";"increased";"bright pink";"<3";"intermittent mild pain";"normal";"none";"slight";">1l";"normal";"normal";"lived";"no"
38,7;68,0132282494216;28,877064425885;33;6,5;"yes";"adult";"cool";"normal";"pale pink";"<3";"continuous severe pain";"absent";"slight";"slight";"none";"absent";"distended large intestine";"lived";"yes"
47,0207325479064;96;41,640320080198;60;17,3012155868133;"no";"adult";"cool";"reduced";"pale pink";">=3";"continuous severe pain";"absent";"severe";"none";">1l";"absent";"distended large intestine";"died";"yes"
37,1;114;40;32;-69,8359974943593;"no";"adult";"cool";"normal";"pale pink";">=3";"depressed";"normal";"none";"slight";"none";"absent";"firm feces in large intestine";"lived";"no"
38,5;92;40;46;67;"yes";"adult";"cold";"reduced";"normal pink";"<3";"depressed";"absent";"moderate";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,5;72;30;60;6,8;"yes";"adult";"cold";"reduced";"pale cyanotic";"<3";"intermittent severe pain";"absent";"moderate";"slight";"none";"decreased";"distended large intestine";"died";"yes"
37,8;48;14;35;7,5;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"<1l";"normal";"distended large intestine";"lived";"no"
37,5;48;24;43;6;"no";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypermotile";"none";"none";"none";"decreased";"other";"lived";"no"
36,5;78;30;34;75;"yes";"adult";"normal";"normal";"normal pink";"<3";"continuous severe pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38,2;76;28;46;81;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"absent";"none";"slight";">1l";"absent";"distended small intestine";"lived";"yes"
38,6;52;20;36;6,6;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"none";"normal";"firm feces in large intestine";"lived";"no"
32,0984821256503;40;19,4123130941269;39;56;"yes";"adult";"warm";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"none";"none";"none";"absent";"distended large intestine";"lived";"yes"
38;92;28;37;6,1;"no";"young";"normal";"normal";"bright pink";"<3";"alert no pain";"hypomotile";"slight";"significant";"none";"normal";"normal";"died";"no"
27,9710334959132;58,7466645981267;12;44;7,5;"no";"adult";"normal";"normal";"bright pink";"<3";"depressed";"hypermotile";"slight";"significant";"none";"normal";"firm feces in large intestine";"lived";"no"
37,8;82;12;50;7;"no";"adult";"cool";"normal";"normal pink";">=3";"intermittent severe pain";"hypomotile";"moderate";"none";"<1l";"absent";"distended large intestine";"euthanized";"yes"
37,5;44;23,6937255677414;45;5,8;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"absent";"distended large intestine";"lived";"no"
37,5;44;10;43;51;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"slight";"slight";"none";"decreased";"firm feces in large intestine";"lived";"no"
38,7;52;20;33;77;"no";"adult";"warm";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"none";"none";"normal";"normal";"lived";"no"
39;120;48,6083540177317;65;8,2;"yes";"adult";"cold";"reduced";"bright red";">=3";"depressed";"absent";"moderate";"slight";"<1l";"absent";"distended large intestine";"lived";"no"
37,4;84;20;31;61;"yes";"adult";"cool";"normal";"pale pink";"<3";"depressed";"hypomotile";"moderate";"slight";"none";"absent";"distended large intestine";"euthanized";"no"
39,5;92;28;72;6,4;"no";"adult";"cool";"reduced";"dark cyanotic";"<3";"continuous severe pain";"absent";"none";"slight";"<1l";"absent";"distended large intestine";"died";"no"
38,2756299113987;84;36;44;8,5;"no";"adult";"cool";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"decreased";"other";"lived";"yes"
37;56;24;35;61;"yes";"adult";"cool";"normal";"pale cyanotic";">=3";"intermittent severe pain";"absent";"moderate";"none";"none";"absent";"distended large intestine";"euthanized";"no"
38,3;60;16;30;6;"yes";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypermotile";"none";"slight";">1l";"normal";"distended small intestine";"lived";"yes"
38,2;64;24;45;7,5;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent severe pain";"absent";"moderate";"slight";"none";"absent";"distended small intestine";"died";"yes"
37,7;44;28;45;70;"yes";"adult";"cool";"absent";"pale pink";">=3";"continuous severe pain";"absent";"severe";"none";"none";"decreased";"distended large intestine";"lived";"yes"
38,1;136;48;33;4,9;"yes";"young";"cool";"reduced";"pale pink";"<3";"continuous severe pain";"hypermotile";"moderate";"slight";">1l";"increased";"distended large intestine";"died";"yes"
38;56;24,673537981079;42;71;"no";"adult";"normal";"increased";"pale pink";"<3";"alert no pain";"hypermotile";"none";"none";"none";"normal";"normal";"lived";"no"
37,8;52;24;48;6,6;"yes";"adult";"normal";"reduced";"pale pink";"<3";"intermittent severe pain";"absent";"none";"slight";"<1l";"increased";"distended large intestine";"died";"yes"
43,2131385054835;100;30;52;6,6;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"significant";"<1l";"absent";"distended small intestine";"lived";"yes"
59,2049605972165;100;43,9652363298292;68;64;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"intermittent mild pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,7;66;12;31,5;6,2;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"absent";"distended small intestine";"lived";"yes"
38,2;48;22,4042349823698;42;71;"yes";"adult";"normal";"reduced";"pale pink";"<3";"intermittent mild pain";"absent";"severe";"none";"<1l";"absent";"distended large intestine";"lived";"yes"
37,9;48;16;37;7;"yes";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"none";"none";"decreased";"distended large intestine";"lived";"yes"
38;52;16;53;86;"no";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypomotile";"none";"slight";"<1l";"normal";"normal";"lived";"yes"
38,3;42;10;38;61;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
52,7982327349151;120;49,5407437009589;60;6,5;"no";"adult";"cold";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"none";"none";"absent";"distended large intestine";"died";"yes"
35,5469945624498;80;36;38;6,2;"no";"adult";"cool";"absent";"pale pink";"<3";"intermittent severe pain";"absent";"severe";"slight";"none";"decreased";"distended large intestine";"euthanized";"yes"
38;66;20;46;46;"yes";"adult";"normal";"reduced";"pale pink";"<3";"continuous severe pain";"hypomotile";"none";"none";"none";"decreased";"distended large intestine";"euthanized";"yes"
38;56;44;47;70;"no";"adult";"cool";"reduced";"pale pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
38,2;40;16;34;66;"yes";"adult";"cool";"reduced";"normal pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"normal";"normal";"lived";"no"
38,3;44;60;6,4;36;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
47,0207325479064;96;41,640320080198;60;17,3012155868133;"no";"adult";"cool";"reduced";"pale pink";">=3";"continuous severe pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"died";"yes"
37,9;72;31,5756956835656;58;74;"no";"adult";"normal";"normal";"bright red";">=3";"intermittent mild pain";"hypomotile";"none";"none";"<1l";"decreased";"distended small intestine";"lived";"yes"
38,9;80;44;54;6,5;"yes";"adult";"cool";"reduced";"pale pink";">=3";"depressed";"hypomotile";"moderate";"slight";">1l";"decreased";"normal";"died";"yes"
37,1;75;36;48;7,4;"yes";"adult";"cool";"normal";"pale pink";">=3";"intermittent severe pain";"absent";"slight";"slight";"<1l";"absent";"distended small intestine";"died";"yes"
38,2;60;24;53;7,5;"no";"adult";"cool";"normal";"pale pink";">=3";"intermittent mild pain";"hypomotile";"slight";"significant";"<1l";"absent";"distended small intestine";"lived";"no"
47,1088508700936;70,3735075948887;40;45;70;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"absent";"distended large intestine";"lived";"no"
24,0223278392933;65;24;31,8003768066736;-17,5346455800965;"yes";"adult";"cool";"normal";"normal pink";">=3";"continuous severe pain";"hypomotile";"severe";"significant";"none";"absent";"distended large intestine";"euthanized";"yes"
38,5;66;28;45;8,4;"no";"adult";"cool";"reduced";"normal pink";">=3";"continuous severe pain";"absent";"severe";"slight";"none";"decreased";"distended large intestine";"died";"no"
37,8;48;16;43;7,5;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"absent";"firm feces in large intestine";"lived";"no"
38,3;40;16;37;57;"no";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
19,6388960618818;41,0549652569989;17,4914769137227;24;6,7;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38,2;42;26;36;6,9;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"slight";"slight";"none";"normal";"distended large intestine";"lived";"no"
39,1;60;10;37,9529686332175;37,6575792055695;"yes";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypomotile";"none";"slight";"none";"absent";"distended small intestine";"lived";"yes"
38,6;48;20;50;7,3;"no";"adult";"cool";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"slight";"slight";"none";"decreased";"other";"lived";"no"
38;54;30;45;6,2;"no";"adult";"warm";"reduced";"pale pink";"meaning unknown";"intermittent mild pain";"hypermotile";"slight";"slight";">1l";"absent";"distended small intestine";"lived";"no"
34,8270698681794;75,0302249202559;31,8544022798236;43;7,7;"no";"adult";"normal";"normal";"pale pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"increased";"other";"lived";"no"
38,7;40;28;39;62;"no";"adult";"warm";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"no"
37,7;96;30;66;7,5;"no";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"significant";">1l";"absent";"distended large intestine";"died";"yes"
38;80;30;48;8,3;"yes";"adult";"cool";"reduced";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38,3;80;34,0535367998149;45;7,5;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"moderate";"slight";"none";"absent";"distended small intestine";"lived";"yes"
38,4;54;24;49;7,2;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"decreased";"other";"lived";"no"
38,4;49;25,0252662225648;44;7,6;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,7;40;18;36;3,5;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"normal";"none";"none";"none";"decreased";"firm feces in large intestine";"lived";"no"
38,7;60;32;53;64;"yes";"adult";"cold";"reduced";"bright pink";">=3";"intermittent severe pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"euthanized";"yes"
38;86;24;45;5,5;"yes";"adult";"cold";"reduced";"pale cyanotic";"<3";"depressed";"absent";"severe";"none";"none";"absent";"distended large intestine";"died";"yes"
38,5;60;40;49;59;"no";"adult";"cool";"normal";"bright pink";"<3";"depressed";"hypermotile";"slight";"slight";"none";"decreased";"other";"lived";"no"
39,4;110;35;55;8,7;"no";"adult";"cold";"reduced";"dark cyanotic";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";"none";"absent";"distended large intestine";"lived";"no"
37,7;44;40;41;60;"no";"adult";"warm";"normal";"pale pink";"<3";"alert no pain";"hypomotile";"slight";"none";"none";"normal";"distended large intestine";"lived";"no"
37,6;96;48;45;6,8;"yes";"adult";"cool";"normal";"pale cyanotic";"<3";"continuous severe pain";"hypomotile";"moderate";"slight";"<1l";"absent";"distended large intestine";"died";"yes"
38,6;48;12;36;67;"yes";"adult";"cool";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
36,5;100;24;50;6;"yes";"adult";"cool";"reduced";"pale pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"significant";"none";"absent";"distended small intestine";"lived";"yes"
38,7;76;33,6958314496131;50;8;"yes";"adult";"normal";"normal";"bright red";">=3";"intermittent mild pain";"hypomotile";"slight";"slight";">1l";"absent";"distended small intestine";"lived";"yes"
49,273163469966;71,5176866177553;32,0588909947888;54;76;"yes";"adult";"cold";"reduced";"normal pink";">=3";"depressed";"absent";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38;92,370642132141;24;68;7,8;"yes";"adult";"cool";"reduced";"dark cyanotic";">=3";"continuous severe pain";"hypomotile";"severe";"none";"none";"absent";"distended large intestine";"died";"yes"
35,4445682774313;75;12;58;8,5;"yes";"adult";"normal";"normal";"pale cyanotic";"<3";"continuous severe pain";"hypomotile";"moderate";"slight";"<1l";"absent";"distended large intestine";"lived";"yes"
38,1;72;30;37;56;"yes";"adult";"cool";"reduced";"pale pink";"<3";"intermittent severe pain";"absent";"moderate";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
37,9;40;24;40;5,7;"no";"adult";"normal";"normal";"normal pink";"<3";"depressed";"hypomotile";"none";"slight";"none";"absent";"firm feces in large intestine";"lived";"yes"
38,2;42;21,6860429200757;35;5,9;"no";"adult";"cool";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"slight";"slight";"none";"decreased";"other";"lived";"no"
38,8;184;84;33;3,3;"yes";"young";"normal";"normal";"normal pink";"<3";"intermittent severe pain";"hypermotile";"moderate";"slight";"none";"increased";"distended large intestine";"died";"yes"
38,3;66;30;37;6;"yes";"adult";"warm";"reduced";"normal pink";"<3";"depressed";"absent";"moderate";"significant";">1l";"absent";"distended large intestine";"lived";"yes"
32,0891891581479;64;36;42;7,7;"yes";"adult";"warm";"normal";"bright pink";"<3";"continuous severe pain";"hypomotile";"moderate";"slight";">1l";"absent";"distended large intestine";"died";"yes"
38;42;68;41;7,6;"yes";"adult";"cold";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";">1l";"absent";"distended small intestine";"lived";"yes"
39,3;64;90;39;6,7;"yes";"adult";"warm";"reduced";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"none";">1l";"absent";"distended large intestine";"lived";"yes"
37,8;48;28;46;5,9;"yes";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"normal";"none";"slight";"none";"normal";"normal";"lived";"no"
39,1;72;52;50;7,8;"no";"adult";"warm";"normal";"bright pink";"<3";"depressed";"hypermotile";"slight";"none";"none";"absent";"distended small intestine";"lived";"yes"
0;0;0;0;0;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
38;65;40;42,5088689356858;21,3882086563871;"yes";"adult";"cool";"normal";"pale cyanotic";">=3";"depressed";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38,2;60;30;48;66;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"decreased";"other";"lived";"yes"
37,5;48;40;41;55;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"none";"none";"absent";"distended large intestine";"euthanized";"yes"
38,2;124;88;47;8;"yes";"young";"normal";"reduced";"bright pink";"<3";"depressed";"hypomotile";"severe";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38,2;130;16;65;82;"no";"adult";"cold";"reduced";"pale cyanotic";">=3";"depressed";"absent";"severe";"none";"none";"absent";"distended large intestine";"euthanized";"no"
38,4;52;20;41;63;"no";"adult";"warm";"normal";"pale pink";"<3";"alert no pain";"hypomotile";"slight";"slight";"none";"decreased";"distended large intestine";"lived";"no"
51,7693095143002;120;49,027434528089;57;4,5;"yes";"adult";"cold";"reduced";"dark cyanotic";">=3";"continuous severe pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"died";"yes"
37,9;54;42;47;54;"no";"adult";"warm";"normal";"bright red";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"absent";"other";"lived";"no"
37,7;56;25,2258089081775;38,3285038298442;35,2167194653222;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"yes"
38,3;40;16;38;58;"yes";"adult";"cool";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"slight";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,8;40;12;38;7;"yes";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"normal";"none";"slight";"none";"normal";"other";"lived";"yes"
35,0677602120765;48;96;42;8;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"absent";"none";"slight";"none";"normal";"distended small intestine";"lived";"yes"
38,1;100;80;36;5,7;"yes";"young";"cool";"normal";"bright pink";"<3";"intermittent mild pain";"absent";"none";"slight";"none";"normal";"distended large intestine";"lived";"yes"
38;60;12;44;65;"yes";"adult";"normal";"normal";"bright pink";"<3";"depressed";"hypermotile";"none";"none";"none";"normal";"distended small intestine";"euthanized";"yes"
30,751980160618;66,4100690442453;28,186889808527;38;6,5;"no";"adult";"cool";"reduced";"normal pink";"<3";"continuous severe pain";"hypomotile";"moderate";"none";"none";"absent";"distended large intestine";"died";"yes"
38,5;129;48;57;66;"yes";"adult";"cool";"reduced";"pale pink";"<3";"depressed";"absent";"moderate";"none";"<1l";"absent";"distended large intestine";"lived";"yes"
37,5;88;20;35;6,4;"yes";"adult";"warm";"reduced";"pale pink";"<3";"intermittent severe pain";"hypomotile";"moderate";"slight";"none";"absent";"distended large intestine";"died";"yes"
38,2;42;16;35;60;"no";"adult";"normal";"normal";"pale pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"no"
46,0931329136454;100;42,8676593290381;59;6,3;"yes";"adult";"cool";"normal";"pale cyanotic";">=3";"continuous severe pain";"absent";"none";"slight";"none";"increased";"distended large intestine";"died";"yes"
37,9;120;60;52;6,6;"yes";"adult";"cool";"reduced";"pale pink";"<3";"continuous severe pain";"absent";"severe";"slight";">1l";"absent";"distended large intestine";"died";"yes"
38,9;44;14;33;64;"no";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypomotile";"slight";"slight";"none";"absent";"other";"lived";"no"
39,6;108;51;59;8;"no";"adult";"cool";"reduced";"dark cyanotic";">=3";"depressed";"absent";"moderate";"none";">1l";"decreased";"distended large intestine";"lived";"no"
38,3;54;18;44;7,2;"no";"adult";"cool";"normal";"bright pink";"<3";"depressed";"hypomotile";"slight";"slight";"<1l";"absent";"distended small intestine";"lived";"no"
37;66;20;35;6,9;"yes";"adult";"normal";"reduced";"bright pink";"<3";"intermittent severe pain";"hypomotile";"moderate";"none";"none";"normal";"distended large intestine";"died";"yes"
37,2;36;9;35;5,7;"no";"adult";"normal";"normal";"normal pink";"<3";"depressed";"hypomotile";"none";"slight";"none";"absent";"normal";"lived";"no"
38,2;56;40;47;7,2;"no";"adult";"cold";"reduced";"normal pink";"<3";"depressed";"absent";"moderate";"slight";">1l";"absent";"distended large intestine";"lived";"no"
0;0;0;0;0;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"no"
37,8;88;80;64;89;"yes";"adult";"cool";"reduced";"bright red";">=3";"intermittent mild pain";"hypomotile";"moderate";"slight";"<1l";"absent";"distended large intestine";"euthanized";"yes"
37,3;40;19,35298581084;36;64,0490788309112;"yes";"adult";"cool";"reduced";"normal pink";"<3";"depressed";"hypomotile";"slight";"significant";"none";"decreased";"distended large intestine";"lived";"yes"
38;90;30;55;6,1;"yes";"adult";"cold";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"died";"yes"
38,6;56;32;40;7;"no";"adult";"warm";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"increased";"distended large intestine";"lived";"no"
38;44;12;42;64;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"slight";"slight";"none";"normal";"distended large intestine";"lived";"no"
37,4;50;32;45;7,9;"yes";"adult";"cool";"reduced";"normal pink";"<3";"intermittent severe pain";"absent";"none";"slight";"none";"normal";"distended large intestine";"lived";"yes"
38;42;40;37,245716908771;49,10936288492;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
38;92,370642132141;24;68;7,8;"yes";"adult";"cool";"reduced";"dark cyanotic";">=3";"continuous severe pain";"hypomotile";"severe";"none";"none";"absent";"distended large intestine";"died";"yes"
40;78;36,8938494500708;66;6,5;"no";"adult";"cool";"reduced";"bright red";"<3";"depressed";"hypomotile";"none";"none";"none";"absent";"normal";"died";"yes"
