"Style";"Price";"Rating";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
"casual";"average";5;"xl";"autumn";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"dot";"1"
"casual";"low";4,4;"m";"winter";"o-neck";"sleevless";"natural";"polyster";"sattin";"sashes";"solid";"1"
"casual";"average";4,7;"m";"spring";"o-neck";"sleevless";"natural";"spandex";"chiffon";"sashes";"solid";"1"
"sexy";"average";4,2;"m";"winter";"v-neck";"sleevless";"natural";"cotton";"flannael";"sashes";"solid";"1"
"sexy";"average";4,6;"free";"winter";"slash-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"2"
"casual";"low";4,7;"s";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"low";4,7;"m";"spring";"o-neck";"full";"natural";"polyster";"worsted";"sashes";"solid";"2"
"sexy";"low";4,4;"free";"autumn";"v-neck";"sleevless";"natural";"cotton";"worsted";"lace";"solid";"1"
"bohemian";"average";4,7;"l";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"sexy";"low";4,8;"l";"summer";"v-neck";"full";"natural";"cotton";"jersey";"applique";"print";"2"
"cute";"low";5;"l";"winter";"o-neck";"threequarter";"natural";"silk";"chiffon";"sashes";"print";"1"
"sexy";"average";5;"m";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"sequined";"solid";"2"
"party";"high";4,6;"m";"summer";"slash-neck";"sleevless";"natural";"silk";"chiffon";"sequined";"animal";"2"
"cute";"average";4,7;"l";"summer";"o-neck";"sleevless";"natural";"cotton";"worsted";"sashes";"print";"1"
"party";"average";4,7;"m";"spring";"v-neck";"sleevless";"natural";"polyster";"chiffon";"hollowout";"solid";"1"
"sexy";"low";4,5;"l";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"average";4,3;"s";"spring";"boat-neck";"full";"natural";"cotton";"broadcloth";"lace";"patchwork";"2"
"casual";"low";4,7;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sequined";"print";"1"
"casual";"low";4,7;"free";"spring";"o-neck";"sleevless";"empire";"cotton";"chiffon";"applique";"floral";"1"
"casual";"low";4,6;"free";"winter";"o-neck";"full";"natural";"polyster";"worsted";"applique";"solid";"2"
"casual";"average";4,4;"l";"autumn";"o-neck";"halfsleeve";"natural";"silk";"dobby";"lace";"animal";"1"
"casual";"low";4,3;"m";"summer";"o-neck";"sleevless";"natural";"polyster";"chiffon";"rivet";"solid";"1"
"sexy";"average";5;"free";"autumn";"v-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"patchwork";"1"
"casual";"low";4,8;"xl";"summer";"o-neck";"short";"empire";"mix";"chiffon";"sashes";"geometric";"1"
"casual";"low";5;"s";"spring";"o-neck";"sleevless";"natural";"chiffonfabric";"jersey";"sashes";"print";"1"
"sexy";"average";4,7;"m";"autumn";"slash-neck";"sleevless";"natural";"nylon";"sattin";"rivet";"solid";"1"
"casual";"low";4,7;"l";"autumn";"o-neck";"short";"natural";"polyster";"shiffon";"sequined";"patchwork";"2"
"casual";"average";4,6;"free";"winter";"v-neck";"full";"natural";"cotton";"flannel";"draped";"striped";"1"
"sexy";"average";4,8;"s";"winter";"v-neck";"sleevless";"empire";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";4,5;"m";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"ruched";"striped";"1"
"casual";"average";4,8;"m";"summer";"o-neck";"halfsleeve";"princess";"cotton";"worsted";"embroidary";"striped";"1"
"casual";"high";4,7;"l";"winter";"v-neck";"full";"natural";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";4,6;"m";"autumn";"o-neck";"short";"empire";"polyster";"chiffon";"applique";"dot";"1"
"bohemian";"low";4,6;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"none";"solid";"2"
"casual";"low";4,7;"m";"winter";"o-neck";"full";"empire";"polyster";"chiffon";"sashes";"print";"2"
"casual";"medium";4,6;"m";"winter";"o-neck";"full";"natural";"cashmere";"worsted";"sashes";"solid";"2"
"casual";"low";4,7;"s";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"sequined";"patchwork";"1"
"sexy";"low";4,7;"m";"winter";"o-neck";"threequarter";"natural";"polyster";"chiffon";"lace";"print";"2"
"casual";"low";4;"l";"summer";"o-neck";"petal";"natural";"microfiber";"satin";"ruffles";"animal";"1"
"casual";"low";4,8;"l";"summer";"v-neck";"thressqatar";"natural";"cotton";"chiffon";"lace";"print";"1"
"party";"high";4,7;"m";"spring";"o-neck";"threequarter";"natural";"silk";"organza";"lace";"print";"1"
"casual";"low";4,7;"free";"winter";"o-neck";"sleevless";"natural";"milksilk";"broadcloth";"sashes";"animal";"1"
"vintage";"average";4,7;"m";"summer";"v-neck";"short";"natural";"rayon";"broadcloth";"beading";"print";"1"
"work";"average";4,8;"l";"winter";"v-neck";"short";"natural";"mix";"broadcloth";"lace";"solid";"1"
"casual";"low";4,4;"free";"winter";"halter";"sleevless";"natural";"polyster";"worsted";"draped";"dot";"2"
"casual";"average";4,7;"s";"summer";"v-neck";"short";"natural";"cotton";"chiffon";"hollowout";"dot";"1"
"vintage";"average";5;"m";"summer";"v-neck";"thressqatar";"natural";"polyster";"chiffon";"sashes";"print";"1"
"casual";"average";4,5;"free";"summer";"o-neck";"short";"natural";"polyster";"chiffon";"rivet";"solid";"1"
"casual";"average";5;"xl";"winter";"boat-neck";"full";"natural";"cotton";"chiffon";"sashes";"geometric";"2"
"bohemian";"medium";5;"free";"autumn";"o-neck";"full";"natural";"cashmere";"sattin";"hollowout";"patchwork";"2"
"casual";"average";4,3;"m";"winter";"slash-neck";"sleeveless";"natural";"polyster";"broadcloth";"sashes";"solid";"1"
"brief";"low";4,6;"m";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"tiered";"animal";"1"
"cute";"low";4,7;"free";"summer";"o-neck";"sleevless";"natural";"mix";"chiffon";"sashes";"print";"2"
"casual";"average";4,7;"m";"winter";"v-neck";"sleevless";"empire";"polyster";"chiffon";"applique";"print";"1"
"sexy";"average";4,6;"s";"summer";"v-neck";"sleevless";"empire";"cotton";"broadcloth";"sequined";"animal";"2"
"casual";"average";4,8;"m";"winter";"o-neck";"threequarter";"natural";"polyster";"broadcloth";"sashes";"print";"2"
"cute";"average";4,8;"l";"autumn";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"hollowout";"solid";"1"
"sexy";"low";4,5;"free";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"sashes";"solid";"2"
"casual";"average";5;"free";"winter";"v-neck";"full";"natural";"cashmere";"worsted";"sashes";"solid";"2"
"vintage";"average";4,3;"free";"winter";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"sequined";"print";"1"
"casual";"low";5;"free";"winter";"o-neck";"full";"natural";"wool";"worsted";"applique";"solid";"1"
"casual";"average";4,8;"m";"autumn";"v-neck";"short";"empire";"polyster";"chiffon";"embroidary";"print";"2"
"party";"medium";4,8;"s";"spring";"v-neck";"sleevless";"empire";"chiffonfabric";"chiffon";"sashes";"animal";"2"
"sexy";"low";4,4;"free";"summer";"bowneck";"sleevless";"natural";"viscos";"chiffon";"bow";"solid";"1"
"casual";"average";4,4;"l";"autumn";"o-neck";"sleevless";"natural";"linen";"chiffon";"ruffles";"animal";"1"
"bohemian";"low";5;"free";"spring";"o-neck";"short";"natural";"nylon";"jersey";"sashes";"print";"2"
"sexy";"average";5;"l";"autumn";"v-neck";"sleevless";"empire";"cotton";"chiffon";"hollowout";"patchwork";"1"
"vintage";"average";4,5;"l";"autumn";"o-neck";"sleevless";"empire";"cotton";"worsted";"sequined";"solid";"1"
"casual";"very-high";4,6;"m";"winter";"o-neck";"short";"natural";"polyster";"chiffon";"flowers";"animal";"2"
"casual";"average";4,8;"l";"winter";"o-neck";"short";"natural";"cotton";"knitting";"pockets";"solid";"2"
"sexy";"high";5;"m";"summer";"v-neck";"sleevless";"natural";"mix";"chiffon";"lace";"striped";"1"
"casual";"medium";4,6;"l";"winter";"boat-neck";"full";"empire";"chiffonfabric";"broadcloth";"sashes";"solid";"2"
"vintage";"average";4,8;"m";"spring";"o-neck";"halfsleeve";"empire";"polyster";"knitting";"lace";"animal";"1"
"casual";"low";5;"m";"autumn";"o-neck";"sleevless";"empire";"rayon";"chiffon";"sashes";"print";"2"
"casual";"average";4,9;"xl";"winter";"o-neck";"short";"empire";"polyster";"worsted";"button";"solid";"1"
"casual";"average";4,6;"l";"winter";"boat-neck";"sleevless";"empire";"silk";"broadcloth";"applique";"print";"2"
