"Style";"Price";"Rating";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
"casual";"low";4,4;"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"pockets";"solid";"1"
"novelty";"average";4,6531561461794;"free";"summer";"o-neck";"full";"natural";"cotton";"sattin";"hollowout";"solid";"1"
"casual";"low";4,6;"m";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"striped";"1"
"casual";"low";4,6531561461794;"free";"summer";"v-neck";"halfsleeve";"natural";"silk";"broadcloth";"applique";"solid";"1"
"casual";"low";4,8;"m";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"print";"1"
"casual";"low";4,7;"m";"summer";"o-neck";"sleevless";"empire";"milksilk";"chiffon";"lace";"solid";"1"
"party";"average";4,5;"l";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
"party";"very-high";4,6;"free";"summer";"o-neck";"sleevless";"empire";"rayon";"chiffon";"hollowout";"solid";"1"
"cute";"average";4,3;"l";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"brief";"average";4,6;"free";"winter";"o-neck";"full";"natural";"mix";"chiffon";"sashes";"solid";"1"
"sexy";"low";4,6;"m";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"ruffles";"animal";"2"
"party";"high";4,5;"m";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"medium";4,9;"l";"spring";"sqare-collor";"sleevless";"empire";"cotton";"chiffon";"lace";"print";"1"
"casual";"average";4,6531561461794;"xl";"winter";"v-neck";"short";"empire";"polyster";"shiffon";"pockets";"solid";"2"
"casual";"low";4,6531561461794;"free";"winter";"o-neck";"halfsleeve";"natural";"polyster";"worsted";"lace";"patchwork";"2"
"cute";"average";4,6;"m";"spring";"o-neck";"halfsleeve";"natural";"acrylic";"chiffon";"lace";"solid";"1"
"casual";"average";4,9;"s";"winter";"turndowncollor";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"low";4,3;"free";"summer";"backless";"sleevless";"empire";"chiffonfabric";"chiffon";"crystal";"solid";"1"
"casual";"average";4,7;"m";"summer";"o-neck";"thressqatar";"natural";"chiffonfabric";"chiffon";"ruched";"solid";"1"
"bohemian";"average";5;"m";"spring";"slash-neck";"sleevless";"empire";"cotton";"chiffon";"ruffles";"solid";"2"
"sexy";"low";4,8;"free";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"striped";"2"
"vintage";"high";4,6531561461794;"l";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"print";"1"
"casual";"low";4,9;"l";"summer";"boat-neck";"short";"natural";"cotton";"chiffon";"lace";"patchwork";"2"
"casual";"average";4,6531561461794;"l";"spring";"o-neck";"halfsleeve";"natural";"polyster";"chiffon";"hollowout";"solid";"2"
"sexy";"low";4,6;"free";"spring";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"leopard";"2"
"casual";"average";4,6;"l";"autumn";"o-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"solid";"1"
"cute";"average";4,5;"l";"winter";"v-neck";"sleevless";"natural";"polyster";"jersey";"sashes";"solid";"2"
"casual";"average";4,8;"m";"summer";"v-neck";"full";"natural";"cotton";"shiffon";"lace";"solid";"1"
"casual";"average";4,6531561461794;"s";"winter";"slash-neck";"halfsleeve";"natural";"nylon";"broadcloth";"lace";"solid";"1"
"casual";"low";5;"m";"spring";"o-neck";"sleevless";"natural";"spandex";"jersey";"lace";"print";"1"
"sexy";"very-high";4,6531561461794;"free";"winter";"v-neck";"sleevless";"natural";"polyster";"knitting";"lace";"solid";"1"
"sexy";"average";4,5;"m";"summer";"bowneck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"party";"very-high";4,1;"m";"winter";"scoop";"short";"natural";"cotton";"lace";"applique";"solid";"2"
"casual";"average";4,6531561461794;"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"2"
"brief";"low";4,7;"m";"winter";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
"casual";"medium";4,6531561461794;"free";"spring";"o-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"2"
"casual";"high";5;"free";"summer";"v-neck";"sleevless";"natural";"nylon";"chiffon";"lace";"solid";"2"
"casual";"average";5;"m";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"2"
"party";"average";4,8;"m";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
"sexy";"low";5;"free";"spring";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
"sexy";"average";4,8;"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"embroidary";"solid";"1"
"sexy";"average";5;"m";"autumn";"o-neck";"sleevless";"empire";"milksilk";"chiffon";"lace";"solid";"2"
"vintage";"low";4,8;"s";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"ruffles";"print";"1"
"casual";"low";4,6531561461794;"free";"winter";"boat-neck";"full";"natural";"other";"other";"lace";"solid";"1"
"casual";"average";4,4;"free";"summer";"o-neck";"capsleeves";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"average";4,7;"xl";"summer";"v-neck";"halfsleeve";"natural";"cotton";"broadcloth";"lace";"print";"2"
"cute";"average";4,6531561461794;"xl";"spring";"boat-neck";"full";"natural";"cotton";"worsted";"applique";"dot";"2"
"cute";"average";4,7;"m";"spring";"o-neck";"full";"natural";"rayon";"chiffon";"beading";"solid";"2"
"vintage";"low";4,6;"m";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"print";"1"
"casual";"low";4,4;"m";"summer";"o-neck";"halfsleeve";"empire";"chiffonfabric";"chiffon";"bow";"solid";"1"
"casual";"low";4,4;"free";"summer";"v-neck";"short";"empire";"cotton";"corduroy";"lace";"solid";"1"
"party";"very-high";4,9;"l";"spring";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"flowers";"solid";"2"
"cute";"average";4,7;"l";"winter";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
"sexy";"average";4,6531561461794;"free";"spring";"v-neck";"full";"natural";"cotton";"wollen";"lace";"solid";"2"
"sexy";"low";4,8;"l";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"average";5;"free";"winter";"o-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"solid";"2"
"sexy";"low";4,6;"l";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"average";4,4;"m";"summer";"o-neck";"short";"empire";"cotton";"chiffon";"lace";"patchwork";"1"
"casual";"low";5;"free";"spring";"bowneck";"sleevless";"natural";"silk";"chiffon";"applique";"print";"1"
"flare";"average";4,6531561461794;"free";"spring";"v-neck";"short";"natural";"nylon";"chiffon";"lace";"animal";"1"
"sexy";"low";4,3;"m";"autumn";"open";"short";"natural";"lace";"chiffon";"lace";"print";"1"
"bohemian";"average";4,6;"m";"spring";"o-neck";"sleevless";"natural";"shiffon";"shiffon";"sashes";"solid";"1"
"casual";"average";5;"xl";"autumn";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
"casual";"low";4,4;"m";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";4,7;"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"sexy";"average";4,2;"m";"winter";"v-neck";"sleevless";"natural";"cotton";"flannael";"lace";"solid";"1"
"sexy";"average";4,6531561461794;"free";"winter";"slash-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"2"
"casual";"low";4,7;"s";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"low";4,7;"m";"spring";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"solid";"2"
"sexy";"low";4,4;"free";"autumn";"v-neck";"sleevless";"natural";"cotton";"worsted";"lace";"solid";"1"
"bohemian";"average";4,7;"l";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"sexy";"low";4,8;"l";"summer";"v-neck";"full";"natural";"cotton";"jersey";"applique";"print";"2"
"cute";"low";5;"l";"winter";"o-neck";"threequarter";"natural";"silk";"chiffon";"sashes";"print";"1"
"sexy";"average";5;"m";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"sequined";"solid";"2"
"party";"high";4,6;"m";"summer";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"cute";"average";4,7;"l";"summer";"o-neck";"sleevless";"natural";"cotton";"worsted";"lace";"print";"1"
"party";"average";4,7;"m";"spring";"v-neck";"sleevless";"natural";"polyster";"chiffon";"hollowout";"solid";"1"
"sexy";"low";4,5;"l";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"average";4,3;"s";"spring";"boat-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"2"
"casual";"low";4,7;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"1"
"casual";"low";4,7;"free";"spring";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"floral";"1"
"casual";"low";4,6;"free";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"applique";"solid";"2"
"casual";"average";4,4;"l";"autumn";"o-neck";"halfsleeve";"natural";"cotton";"dobby";"lace";"animal";"1"
"casual";"low";4,3;"m";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"sexy";"average";4,6531561461794;"free";"autumn";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"patchwork";"1"
"casual";"low";4,8;"xl";"summer";"o-neck";"short";"empire";"mix";"chiffon";"sashes";"geometric";"1"
"casual";"low";5;"s";"spring";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"lace";"print";"1"
"sexy";"average";4,7;"m";"autumn";"slash-neck";"sleevless";"natural";"nylon";"chiffon";"rivet";"solid";"1"
"casual";"low";4,7;"l";"autumn";"o-neck";"short";"natural";"polyster";"shiffon";"lace";"patchwork";"2"
"casual";"average";4,6;"free";"winter";"v-neck";"full";"natural";"cotton";"flannel";"lace";"striped";"1"
"sexy";"average";4,8;"s";"winter";"v-neck";"sleevless";"empire";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";4,5;"m";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"ruched";"striped";"1"
"casual";"average";4,8;"m";"summer";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"high";4,6531561461794;"l";"winter";"v-neck";"full";"natural";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";4,6;"m";"autumn";"o-neck";"short";"empire";"polyster";"chiffon";"applique";"dot";"1"
"bohemian";"low";4,6;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"none";"solid";"2"
"casual";"low";4,7;"m";"winter";"o-neck";"full";"empire";"polyster";"chiffon";"lace";"print";"2"
"casual";"medium";4,6;"m";"winter";"o-neck";"full";"natural";"cashmere";"chiffon";"lace";"solid";"2"
"casual";"low";4,7;"s";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
"sexy";"low";4,7;"m";"winter";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"print";"2"
"casual";"low";4,6531561461794;"l";"summer";"o-neck";"petal";"natural";"microfiber";"chiffon";"ruffles";"animal";"1"
"casual";"low";4,8;"l";"summer";"v-neck";"thressqatar";"natural";"cotton";"chiffon";"lace";"print";"1"
"party";"high";4,7;"m";"spring";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"print";"1"
"casual";"low";4,7;"free";"winter";"o-neck";"sleevless";"natural";"milksilk";"chiffon";"lace";"animal";"1"
"vintage";"average";4,7;"m";"summer";"v-neck";"short";"natural";"rayon";"chiffon";"beading";"print";"1"
"work";"average";4,8;"l";"winter";"v-neck";"short";"natural";"mix";"broadcloth";"lace";"solid";"1"
"casual";"low";4,4;"free";"winter";"halter";"sleevless";"natural";"cotton";"chiffon";"draped";"solid";"2"
"casual";"average";4,7;"s";"summer";"v-neck";"short";"natural";"cotton";"chiffon";"lace";"dot";"1"
"vintage";"average";5;"m";"summer";"v-neck";"thressqatar";"natural";"polyster";"chiffon";"lace";"print";"1"
"casual";"average";4,5;"free";"summer";"o-neck";"short";"natural";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";5;"xl";"winter";"boat-neck";"full";"natural";"cotton";"chiffon";"lace";"geometric";"2"
"bohemian";"medium";5;"free";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"hollowout";"patchwork";"2"
"casual";"average";4,3;"m";"winter";"slash-neck";"sleeveless";"natural";"polyster";"chiffon";"sashes";"solid";"1"
"brief";"low";4,6;"m";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"animal";"1"
"cute";"low";4,7;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"2"
"casual";"average";4,7;"m";"winter";"v-neck";"sleevless";"empire";"polyster";"chiffon";"applique";"print";"1"
"sexy";"average";4,6531561461794;"s";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"average";4,8;"m";"winter";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"print";"2"
"cute";"average";4,8;"l";"autumn";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"hollowout";"solid";"1"
"sexy";"low";4,5;"free";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"sashes";"solid";"2"
"casual";"average";4,6531561461794;"free";"winter";"v-neck";"full";"natural";"cashmere";"chiffon";"lace";"solid";"2"
"vintage";"average";4,3;"free";"winter";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"print";"1"
"casual";"low";5;"free";"winter";"o-neck";"full";"natural";"wool";"chiffon";"applique";"solid";"1"
"casual";"average";4,8;"m";"autumn";"v-neck";"short";"natural";"cotton";"chiffon";"embroidary";"print";"2"
"party";"medium";4,8;"s";"spring";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
"sexy";"low";4,4;"free";"summer";"bowneck";"sleevless";"natural";"viscos";"chiffon";"bow";"solid";"1"
"casual";"average";4,4;"l";"autumn";"o-neck";"sleevless";"natural";"linen";"chiffon";"ruffles";"animal";"1"
"bohemian";"low";5;"free";"spring";"o-neck";"short";"natural";"nylon";"jersey";"sashes";"print";"2"
"sexy";"average";4,6531561461794;"l";"autumn";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"patchwork";"1"
"vintage";"average";4,5;"l";"autumn";"o-neck";"sleevless";"empire";"cotton";"worsted";"lace";"solid";"1"
"casual";"very-high";4,6;"m";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"flowers";"solid";"2"
"casual";"average";4,8;"l";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"pockets";"solid";"2"
"sexy";"high";5;"m";"summer";"v-neck";"sleevless";"natural";"mix";"chiffon";"lace";"striped";"1"
"casual";"medium";4,6531561461794;"l";"winter";"boat-neck";"full";"empire";"cotton";"chiffon";"lace";"solid";"2"
"vintage";"average";4,6531561461794;"m";"spring";"o-neck";"halfsleeve";"empire";"polyster";"chiffon";"lace";"animal";"1"
"casual";"low";5;"m";"autumn";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"print";"2"
"casual";"average";4,6531561461794;"xl";"winter";"o-neck";"short";"empire";"polyster";"chiffon";"button";"solid";"1"
