"Latitude";"Altitude";"Rainfall";"Frosts";"Year";"PMCno";"DBH";"Ht";"Surv";"Vig";"Ins_res";"Stem_Fm";"Crown_Fm";"Brnch_Fm";"Sp";"Utility"
-39,8333333333333;70;1000;-2;1981;1595;5,2;4,3;75;0,5;0,5;4;4;4;"jo";"0"
-40,6;150;1250;-3;1983;2548;41,04;16,6;50;3,3;3;2;1,5;1,5;"fa";"1"
-41,2666666666667;300;1200;-3;1982;2575;9,63;5,11;50;1;0,5;2;2;2;"rd";"0"
-40,6;150;1250;-3;1983;1596;19,04;14,75;50;3,5;4;2,5;2,5;2;"nd";"1"
-40,95;180;1080;-3;1981;1785;10,24;6,95;46;2;2;3;4;3;"ov";"0"
-39,7166666666667;150;900;-2;1986;2770;15,23;6,96;51,3245373768456;2,95810201965263;2,73790118770578;2,84440672303113;3,04581256890807;2,70003613381632;"am";"0"
-41,1333333333333;220;1050;-2;1983;1596;14,77;7;100;3;4;2;3,5;3;"nd";"1"
-40,1833333333333;130;1000;-3;1980;2088;19,1;9,7;60;3,7;3;2;2;1,5;"ni";"1"
-41,2666666666667;300;1200;-3;1982;1340;2,63;2,39;50;1;1,5;1;2;2;"sm";"0"
-40,6;100;1250;-2;1983;-4,73520276103318;22,34;8,84;25;3,8;3,5;3;3,5;3;"re";"0"
-40,95;180;1080;-3;1981;2431;17,08;10,25;7;2,5;3;3;3,5;3;"re";"0"
-40,6;150;1250;-3;1983;2569;15,55;12,87;63;3;3;2,5;3;2;"nd";"1"
-40,1833333333333;130;1000;-3;1980;1521;11,3;10;40;2,7;2;3,2;4;3;"ov";"0"
-40,95;180;1080;-3;1982;2620;3,54;3,43;100;2,5;2;3,3;3,3;3,3;"br";"0"
-41,2;160;1000;-3;1981;1596;11,6;8,9;100;4;3;4;4;4;"nd";"1"
-39,7166666666667;150;900;-2;1986;1596;32,88;14,98;58,8399078612862;2,91999449870983;2,73472222534799;2,83518678088882;3,02475065597211;2,69627906597612;"nd";"0"
-40,95;180;1080;-3;1982;1592;11,77;8,08;75;3;4;3;4;3;"am";"1"
-39,8333333333333;70;1000;-2;1981;1192;8,9;5,2;63;2,5;1,8;3;3;3;"ro";"0"
-41,1333333333333;220;1050;-2;1983;1592;24,3;10,49;50;3,5;3;3;4;2,5;"am";"1"
-39,6333333333333;100;850;-2;1980;2088;10,78;8,93;100;3;2;3;3;3;"ni";"1"
-40,95;180;1080;-3;1981;1785;3,91;3,91;63;2,5;1,5;3;4;3;"ov";"0"
-41,1333333333333;220;1050;-2;1983;1522;17,84;8,83;88;3,5;3;3;3;2,7;"ob";"1"
-39,8333333333333;70;1000;-2;1981;2459;19,6;15,4;100;5;3;5;4,3;3;"ob";"1"
-41,2666666666667;300;1200;-3;1982;2552;17,19;12,45;50;4;4;4;4;4;"fr";"1"
-41,1333333333333;220;1050;-2;1983;1252;14,13;8,85;100;3;2,5;1,5;2;2;"cr";"0"
-39,7166666666667;150;900;-2;1986;2569;36,65;16,69;52,6144688616884;2,95172853274362;2,7374989673501;2,84297531327152;3,04236328351493;2,69953292532224;"nd";"0"
-40,95;180;1080;-3;1982;2621;3,31;4,34;50;3;2,5;3;3;3;"br";"0"
-40,95;180;1080;-3;1983;2750;3,37;3,68;50;2;2,5;3;4;3;"pa";"0"
-40;150;1300;-2;1983;1788;31,05;15,25;30;3,2;1,8;2,8;3,5;2,9;"ov";"0"
-41,2666666666667;300;1200;-3;1982;2574;13,55;9,26;75;3;3;4;4;3,5;"re";"1"
-40,95;180;1080;-3;1983;2458;2,11;3,1;38;1,3;3;3;3;3;"ob";"0"
-39,8333333333333;70;1000;-2;1981;1978;26,6;13,5;75;5;3;2,5;2;1;"fa";"1"
-40;150;1300;-2;1983;1788;32,86;13,86;30;2,8;2;3,1;3,1;2,3;"ov";"1"
-40,95;180;1080;-3;1983;2750;1,38;1,53;13;1;1;3;3;3;"pa";"0"
-41,1333333333333;220;1050;-2;1983;2575;13,31;8,75;75;2,8;3;2,5;3;2,5;"rd";"0"
-46,0036487825392;150;1750;-2;1986;-27,8463672317309;26,16;11,89;82,9384287972723;3,43400882771886;3,27005322182708;3,38035663668586;3,58774963945015;3,22305155834892;"nd";"0"
-40,95;180;1080;-3;1981;1788;13,07;8,12;14;1,5;1,5;2;3;3;"ov";"0"
-39,8333333333333;70;1000;-2;1981;1337;24,5;13,5;75;5;3;4;4;2,5;"ob";"1"
-40,95;180;1080;-3;1981;2634;11,84;9,13;18;2,5;3,5;2,5;3,5;3;"nd";"0"
-40;150;1300;-2;1983;2548;26,51;7,66;10;2,5;3;3;3;3;"fa";"0"
-41,2;160;1000;-3;1981;2469;5,7;5,6;100;3;2,5;4;5;4;"ob";"1"
-40,95;180;1080;-3;1981;1786;6,05;5,39;88;4;4;3,5;3,5;3,5;"fr";"1"
-40,95;180;1080;-3;1981;1094;2,86;3,2;25;2;2;2;2;2;"ag";"0"
-41,2666666666667;300;1200;-3;1982;1111;18,99;10,73;75;3;3;3,5;3;3;"bxs";"1"
-39,8333333333333;70;1000;-2;1981;1785;7,2;6;50;1,3;1,3;4;4;4;"ov";"0"
-40;150;1300;-2;1983;2547;46,36;19,09;40;4,3;2,6;3,8;2,9;2,6;"ni";"1"
-39;200;1400;-2;1980;1520;13,99;5,59;67,3728148372604;2;4;3;4;3;"co";"0"
-41,2666666666667;300;1200;-3;1982;2621;8,11;4,98;100;3;1;4;4;4;"br";"0"
-40,95;180;1080;-3;1981;1340;5,93;6,48;100;1,8;1,8;2;2;3;"sm";"0"
-39,7166666666667;150;900;-2;1986;3270;29,29;13,33;48,1275680250681;2,97450868721234;2,73942161951402;2,84850593438003;3,05496644341757;2,70180041996093;"nd";"0"
-40;150;1300;-2;1983;2553;39,69;18,25;30;3,9;3,8;4,2;4,1;3,6;"re";"1"
-41,2666666666667;300;1200;-3;1982;1592;4,73;5,31;100;2;3;3;4;4;"am";"1"
-41,2;160;1000;-3;1981;1596;7,9;8,6;2,5;3;2,5;4;3,5;1;"nd";"0"
-40,1833333333333;130;1000;-3;1980;1522;15,5;9,8;40;4;3,5;3,5;3,5;3;"ob";"1"
-40,95;180;1080;-3;1982;2553;19,13;13,5;50;5;4;4;4;3;"re";"1"
-39;200;1400;-2;1980;1596;24,42;7,85;66,8881078290475;3;3,5;3,3;3,3;3,3;"nd";"1"
-41,2;160;1000;-3;1981;1113;3,3;2,7;100;1,5;1;2;3;3;"br";"0"
-41,1333333333333;220;1050;-2;1983;1596;16,18;7,67;88;3,5;3;2,5;4;3;"nd";"1"
-40,95;180;1080;-3;1981;1094;5,26;5,48;63;2;1,5;2;2;2;"ag";"0"
-39,8333333333333;70;1000;-2;1981;1787;19,6;16,6;100;5;3;4;4;3;"re";"1"
-40,95;180;1080;-3;1981;1595;2,8;2,92;75;2,5;1,8;3,2;3,5;3,5;"jo";"0"
-39,6333333333333;100;850;-2;1980;1520;18,45;9,96;40;4;3;3,5;4;3,5;"co";"1"
-40,95;180;1080;-3;1982;1592;7,5;8,08;25;2;3;3;4;4;"am";"0"
-40,95;180;1080;-3;1983;1;11,88;9,81;63;3;4;2,5;2,5;2,5;"co";"0"
-41,1333333333333;220;1050;-2;1983;2548;15,98;6,24;63;3,5;4;2,8;2,8;2,5;"fa";"0"
-40;150;1300;-2;1983;2562;38,79;14,56;50;3,9;3,6;3,2;3,5;2,4;"co";"1"
-40,6;150;1250;-3;1983;2750;32,75;16,37;50;4;4;2;2;2;"pa";"1"
-41,2666666666667;300;1200;-3;1982;1352;17,95;13,09;75;4;3;4;3,5;3;"re";"1"
-40,6;150;1250;-3;1983;2569;15,15;15,82;75;3;3;3,1;3,4;3;"nd";"1"
-40,95;180;1080;-3;1983;2571;14,82;14,23;50;3;1,7;4;4;3,5;"ov";"1"
-40,95;180;1080;-3;1983;2560;13,13;11,49;88;3;4;3;4;4;"am";"1"
-39,8333333333333;70;1000;-2;1981;2447;19,8;10,7;75;4,5;3;3;3;2,5;"fr";"1"
-41,1333333333333;220;1050;-2;1983;1596;10,97;5,2;50;3,3;3;3,3;4;3,5;"nd";"1"
-39;200;1400;-2;1980;1523;39,65;10,56;67,3574496962327;4;4,5;3;3;1;"pu";"1"
-39,8333333333333;70;1000;-2;1981;1094;13,5;4;13;0,5;0;1;1;1;"ag";"0"
-41,2666666666667;300;1200;-3;1982;2574;10,07;12,74;100;2,5;2,5;5;5;5;"re";"1"
-40,1833333333333;130;1000;-3;1980;1524;5,4;4,5;20;1;2;3;3;3;"rd";"0"
-41,2666666666667;300;1200;-3;1982;1482;6,52;5,81;100;3;3;3;3;3;"fa";"1"
-41,1333333333333;220;1050;-2;1983;2547;21,25;9,62;100;3,5;2,5;3;3;2;"ni";"1"
-41,1333333333333;220;1050;-2;1983;2569;10,11;4,79;100;2,7;3,5;2,8;4;4;"nd";"1"
-40,95;180;1080;-3;1981;2426;17,42;9,01;45;4,5;4,5;3;2;1,5;"fa";"1"
-40,95;180;1080;-3;1982;2631;9,06;6,97;25;1,3;1;2;2;3;"ka";"0"
-39,8333333333333;70;1000;-2;1981;1339;23,9;12,7;37;4;3;3;3;3;"fr";"1"
-39,7166666666667;150;900;-2;1986;2562;40,44;17,06;52,659794122033;2,95152566682066;2,7375029128974;2,84294406344891;3,0422629793773;2,6995331001801;"co";"0"
-40;150;1300;-2;1983;1596;33,81;10,93;10;3,3;4;3,3;4;2,7;"nd";"1"
-40,95;180;1080;-3;1982;2635;7,48;3,74;25;3;3,5;3;4;3,5;"nd";"0"
-41,1333333333333;220;1050;-2;1983;2570;18,3;9,06;50;3,5;3;2,5;3;2,5;"ob";"0"
-40,95;180;1080;-3;1982;2560;4,39;5,19;50;2,5;3,5;3;4,5;4;"am";"0"
-40,95;180;1080;-3;1982;1340;2,1;3,85;25;1;2;3;3;3;"sm";"0"
-40,95;180;1080;-3;1981;1786;13,67;8,81;100;4,8;3;3,5;3,5;3;"fr";"1"
-41,2666666666667;300;1200;-3;1982;2635;17,4;10,66;75;3;2;4;4;3;"nd";"1"
-39,8333333333333;70;1000;-2;1981;1094;7,8;7,4;63;1;1;3;3;3;"ag";"0"
-39,6333333333333;100;850;-2;1980;1522;13,08;9,79;90;5;4,5;5;4;4;"ob";"1"
-41,2666666666667;300;1200;-3;1982;1595;16,54;7,23;100;3;2,5;3;4;2;"nd";"1"
-40,95;180;1080;-3;1981;1780;6,24;4,85;25;2,5;4;3;3;3;"nc";"0"
-40,1833333333333;130;1000;-3;1980;1520;10,1;8,2;60;3;4;3,5;3,5;3,2;"co";"0"
-40,95;180;1080;-3;1983;2547;24,73;14,19;88;4,5;3;3;3;2,8;"ni";"1"
-39,8333333333333;70;1000;-2;1981;1339;17,3;13,2;71;3,3;3;3;3;3;"fr";"0"
-40,6;150;1250;-3;1983;2553;23,53;21,06;50;4,5;3,5;3,3;3,2;2,8;"re";"1"
-40,95;180;1080;-3;1981;2571;23,55;14,36;37;4;2;3;3,5;2;"ov";"1"
-40;150;1300;-2;1983;2550;20,25;10,66;30;2,7;3;4;4,2;3,7;"re";"1"
-40,95;180;1080;-3;1982;2575;6,97;5,32;50;2;3,5;2;3;3;"rd";"0"
-41,2666666666667;300;1200;-3;1982;2432;18,87;14,24;75;5;3;5;4;4,5;"re";"1"
-40,95;180;1080;-3;1981;1788;9,54;6,83;13;2,5;1,8;2,5;4;3;"ov";"0"
-40,95;180;1080;-3;1982;2575;4,84;4,13;50;2;1,5;3;3;3;"rd";"0"
-41,2666666666667;300;1200;-3;1982;1482;2,37;2,73;50;1;3;3;3;3;"fa";"0"
-40;150;1300;-2;1983;2560;24,94;14,33;10;3;4;3,5;4;3;"am";"1"
-39,7166666666667;150;900;-2;1986;1609;33,99;12,75;58,7566505532548;2,92041530806732;2,73475627997319;2,8352876968628;3,02498264156357;2,69631953930145;"te";"0"
-40;150;1300;-2;1983;2569;22,15;14,57;20;3;4;3;3,4;3;"nd";"1"
-40,6;150;1250;-3;1983;2574;24,4;20,33;75;4,5;3,5;3,3;3,2;2,8;"re";"1"
-40,6;100;1250;-2;1983;1522;27,36;11,49;67;4,7;3,3;3,4;3,4;3;"ob";"1"
-40,6;150;1250;-3;1983;2560;17,35;16,11;38;3;3;2,5;3,5;2,5;"am";"1"
-40;150;1300;-2;1983;2568;40,08;12,27;50;4,1;2,5;2,3;2,6;1,7;"ni";"1"
-39,8333333333333;70;1000;-2;1981;1596;15,1;12,3;88;3,5;3;3,3;4;4;"nd";"1"
-40,6;150;1250;-3;1983;2548;22,6;12,61;63;3,5;3;2;2;1,5;"fa";"0"
-40,95;180;1080;-3;1983;2552;10,39;8,66;38;3;3,5;3;4;3;"fr";"0"
-39,8333333333333;70;1000;-2;1981;1111;16,4;13,3;100;4,5;3;3,3;3,3;2,7;"bxs";"1"
-41,1333333333333;220;1050;-2;1983;2560;16,5;7,08;75;3;3,5;2,5;4;3;"am";"1"
-40,95;180;1080;-3;1983;2547;9,13;8,01;75;2,8;2;3,3;3,3;3;"ni";"0"
-40,95;180;1080;-3;1982;1111;6,02;3,63;38;2,5;3;3;3;3;"bxs";"0"
-40,95;180;1080;-3;1981;1524;4,49;4,49;88;2,3;2;2,5;4;3;"rd";"0"
-39,8333333333333;70;1000;-2;1981;1482;15,5;10,5;50;3;3,3;3,3;3;3;"fa";"1"
-41,2;160;1000;-3;1981;1113;8,6;9,5;100;2;1,5;4;4;4;"br";"0"
-40,95;180;1080;-3;1981;2428;3,63;5,02;63;4;3,5;4;4;3,5;"re";"1"
-40,95;180;1080;-3;1981;2428;6,48;6,42;38;4;3,5;4;4;3,5;"re";"1"
-40,95;180;1080;-3;1982;2574;1,17;2,34;25;1;3;3;3;3;"re";"0"
-39,7166666666667;150;900;-2;1986;1257;21,07;9,62;61,0070528197242;2,90885207248595;2,73367376225565;2,83238927500966;3,0185249005016;2,69506551895378;"ra";"0"
-39,6333333333333;100;850;-2;1980;1487;21,52;8,77;20;4;3,5;3;3;1;"fr";"0"
-41,2666666666667;300;1200;-3;1982;2571;8,98;4,08;75;4;2;2;2;2;"ov";"0"
-40,6;150;1250;-3;1983;2458;18,88;10,53;63;3,5;3;2;2;1,5;"ob";"0"
-41,2666666666667;300;1200;-3;1982;2621;7,64;6,72;100;3,5;2;2;2;2;"br";"0"
-40;150;1300;-2;1983;2571;31,33;15,67;30;4,1;2,3;3,4;4;3,1;"ov";"1"
-46,0038280793885;150;1750;-2;1986;-27,8331841840959;29,02;10,87;82,9386618958913;3,4340224369467;3,2700658060999;3,38036971268382;3,58776364547318;3,22306396881219;"te";"0"
-39,7166666666667;150;900;-2;1986;3068;4,14;1,89;49,4157250135192;2,96772062168573;2,73865694917276;2,84669405373565;3,05110233178113;2,70093936189925;"nd";"0"
-41,2666666666667;300;1200;-3;1982;2573;2,45;3,06;50;1,5;4;1;2;3;"pu";"0"
-41,2;160;1000;-3;1981;1787;14,4;12,9;88;5;3;3;3;2,5;"re";"1"
-41,1333333333333;220;1050;-2;1983;2575;6,65;5,08;88;2,5;2,5;2,5;3;3;"rd";"0"
-41,1333333333333;220;1050;-2;1983;1252;12,52;9,23;100;3;2,8;2;2,8;2;"cr";"0"
-40,95;180;1080;-3;1981;2426;8,3;5,93;4;2;3,5;3;3;3;"fa";"0"
-41,2;160;1000;-3;1981;1094;7,3;6,8;2,5;3,5;3,5;3,5;3,5;1,5;"ag";"0"
-40,95;180;1080;-3;1982;2569;19,44;15,38;75;4,5;3,5;3,5;4;3;"nd";"1"
-41,2;160;1000;-3;1981;1111;1,6;1,8;88;1;2;3;3;3;"bxs";"0"
-40,95;180;1080;-3;1981;1978;16,54;9,93;100;5;3,3;3,3;2,5;2;"fa";"1"
-41,2;160;1000;-3;1981;1338;7,3;5,6;3,5;3;2,5;2,5;2,5;1,5;"el";"0"
-41,2;160;1000;-3;1981;1598;15,3;12,7;3;4;2,5;3;2;3;"pu";"0"
-41,2666666666667;300;1200;-3;1982;2548;10,08;6,52;50;3;3;4;4;4;"fa";"0"
-41,2666666666667;300;1200;-3;1982;2553;13,39;6,6;75;3;2,5;3;3;2,5;"re";"0"
-41,2666666666667;300;1200;-3;1982;1171;1,27;1,12;25;1,5;3;0;2;3;"ka";"0"
-39;200;1400;-2;1980;1523;33,13;12,33;67,3568784986431;4;4;3,5;4;2,7;"pu";"1"
-39,8333333333333;70;1000;-2;1981;1978;23,7;12,6;88;5;3,3;3;2;2;"fa";"1"
-40,95;180;1080;-3;1983;1596;7,68;6,56;50;3;3,5;3,5;4;4;"nd";"0"
-41,1333333333333;220;1050;-2;1983;2574;7,22;4,1;57;3;3;2;3;2;"re";"0"
-39,8333333333333;70;1000;-2;1981;2435;19,6;12,3;75;3,3;3;3,3;3,5;3,5;"si";"1"
-39,7166666666667;150;900;-2;1986;3269;25,34;11,57;48,133277116102;2,97444385862415;2,73938843886168;2,84846651733997;3,0549148835645;2,70176717827411;"am";"0"
-40,95;180;1080;-3;1981;1596;7,03;5,99;88;3,5;2,7;3,5;4;4;"nd";"1"
-39,7166666666667;150;900;-2;1986;3268;18,01;3,26;48,1379038254648;2,97432953804612;2,73930857252063;2,84837876038704;3,05481186704196;2,70168791357645;"am";"0"
-39,8333333333333;70;1000;-2;1981;1094;3,4;5,5;50;1;1;3;3;3;"ag";"0"
-39,6333333333333;100;850;-2;1980;1523;18,71;10,9;100;4;4;3,3;4;3;"pu";"1"
-41,2;160;1000;-3;1981;1482;7,8;5,6;88;3;3;2;2;2;"fa";"1"
-39,8333333333333;70;1000;-2;1981;1340;8,8;6,3;100;2;2;1;2;2;"sm";"0"
-41,1333333333333;220;1050;-2;1983;1482;22,62;8,83;88;2;3;3;3;3;"fa";"0"
-41,2;160;1000;-3;1981;1978;19,6;10,3;3;3;2,5;2,5;2;2;"fa";"0"
-40;150;1300;-2;1983;2552;15,52;7,83;10;2;4;4;4;4;"fr";"0"
-39,6333333333333;100;850;-2;1980;1362;8,99;6,05;60;2,5;3;3;4;4;"ma";"0"
-41,2;160;1000;-3;1981;2447;13,9;11,1;5;3;3;2,5;2;3;"fr";"0"
-39,8333333333333;70;1000;-2;1981;1785;9,8;7,5;75;1,7;1,3;3,3;4;3,5;"ov";"0"
-39,7166666666667;150;900;-2;1986;1257;26,18;11,96;61,0079513268967;2,90889406197254;2,73371329315252;2,83243022067023;3,01856851283736;2,69510449020889;"ra";"0"
-39,7166666666667;150;900;-2;1986;1609;21,89;8,21;58,7546206305043;2,92032022651988;2,73466678401291;2,83519499462703;3,02488389559313;2,69623130999274;"te";"0"
-39,7166666666667;150;900;-2;1986;3267;33,65;15,36;48,147534529893;2,97444691047158;2,73944701406647;2,84851709147304;3,05494960077396;2,70182386271415;"am";"0"
-40,95;180;1080;-3;1982;1340;7,58;6,06;38;2;2;3;3;3;"sm";"0"
-41,2;160;1000;-3;1981;2428;11,2;12,2;75;5;3;4;3,5;3,5;"re";"1"
-39,7166666666667;150;900;-2;1986;2768;29,91;11,22;51,3396760950642;2,958146790468;2,73799899432965;2,84449794074992;3,04589059210719;2,70013149512714;"te";"0"
-39;200;1400;-2;1980;2088;33,41;8,35;63,7409445756194;4;2,8;2,5;1,5;1,5;"ni";"0"
-40,95;180;1080;-3;1983;1252;5,36;4,61;63;3;3;2;2;3;"cr";"0"
-40;150;1300;-2;1983;2547;37,49;17,45;40;4,5;2,6;3,6;2,9;2,3;"ni";"1"
-39,8333333333333;70;1000;-2;1981;1596;12,6;8;37;2,5;3,5;4;4;4;"nd";"0"
-41,1333333333333;220;1050;-2;1983;2562;17,62;9,9;88;3,3;3,3;3;3,5;3,3;"co";"1"
-41,2666666666667;300;1200;-3;1982;2631;17,83;6,56;75;4;2;1;1;1;"ka";"0"
-39,7166666666667;150;900;-2;1986;2569;22,89;10,42;52,6120524283547;2,95161560000253;2,73739264767272;2,84286518843651;3,04224598636506;2,69942811080936;"nd";"0"
-40,95;180;1080;-3;1982;1171;11,62;11,62;2;2;2;4;3;3;"ka";"0"
-39;200;1400;-2;1980;2088;32,99;12,53;63,7414741328715;5;2,5;4;3;2;"ni";"1"
-40,95;180;1080;-3;1983;2750;9,19;7,81;50;2,8;3;3;4;3;"pa";"0"
-40;150;1300;-2;1983;1252;26,59;10,8;40;3,6;3,8;2,6;2,6;2,5;"cr";"1"
-39,7166666666667;150;900;-2;1986;3272;26,63;11,4;48,1142331076312;2,97454890446271;2,73940376657805;2,84849754233091;3,05497666006972;2,70178388153535;"pu";"0"
-41,1333333333333;220;1050;-2;1983;2568;16,7;7,64;100;3,5;2,8;3;3;2;"ni";"1"
-40;150;1300;-2;1983;2560;35,83;21,5;10;3,3;3,5;4;4,5;3;"am";"1"
-39,7166666666667;150;900;-2;1986;2460;29,6;13,52;53,3107117396165;2,94811932332468;2,73713686434962;2,84204993930055;3,04033392518084;2,69911809595947;"am";"0"
-39,7166666666667;150;900;-2;1986;3273;25,85;11,06;48,1076987644796;2,97457515257167;2,73940062694302;2,84849933900481;3,05498814903312;2,70178131710072;"pu";"0"
-40,6;150;1250;-3;1983;2568;20,46;19,26;50;3;2,2;3,3;3,3;3;"ni";"1"
-39,8333333333333;70;1000;-2;1981;1112;11,9;9,7;100;2,3;1,8;3;3,5;3,2;"br";"0"
-39,7166666666667;150;900;-2;1986;3267;19,91;13,63;48,1455636874351;2,97435381364639;2,73935945181165;2,84842638032974;3,05485295315627;2,7017375384929;"am";"0"
-40,95;180;1080;-3;1981;2435;14,93;9,39;63;4;3;3;2,5;2,5;"si";"1"
-39,7166666666667;150;900;-2;1986;3274;19,92;7,47;48,1001718793213;2,9745552110855;2,73935398590481;2,8484560803714;3,05495165397684;2,70173586742651;"te";"0"
-41,2666666666667;300;1200;-3;1982;2432;12,39;10,77;75;3;3;4;4;4;"re";"1"
-40,1833333333333;130;1000;-3;1980;1362;4,7;5,5;20;1;1,5;2;3;3;"mn";"0"
-41,2;160;1000;-3;1981;1785;11,1;8,7;88;3;2;3;4;4;"ov";"1"
-40,95;180;1080;-3;1981;1780;2,6;3,64;38;1;2;2;2;3;"nc";"0"
-40,95;180;1080;-3;1981;2548;15,58;8,06;27;3;3,5;3;2,5;3;"fa";"0"
-39,8333333333333;70;1000;-2;1981;1112;14;10;100;2,5;1,5;3;4;4;"br";"0"
-40,95;180;1080;-3;1981;1094;1,03;2,17;13;2;2;2;2;2;"ag";"0"
-40;150;1300;-2;1983;2635;20,4;10,2;10;3,3;4,5;3,3;4;3,5;"nd";"1"
-41,2666666666667;300;1200;-3;1982;2631;5,75;4,6;25;2;2;3;3;3;"ka";"0"
-40,95;180;1080;-3;1982;1788;15,31;11,77;75;3;2;4;4;4;"ov";"1"
-41,1333333333333;220;1050;-2;1983;2560;21,27;9,13;88;3,3;3,5;2,5;3,3;3;"am";"1"
-40,95;180;1080;-3;1981;2634;5,43;4,44;9;1;2;2;3;3;"nd";"0"
-41,2666666666667;300;1200;-3;1982;2569;12,5;6,62;100;3;3;3;3;3;"nd";"1"
-40,95;180;1080;-3;1981;2469;19,92;7,37;13;2;2,5;3;3;3;"ob";"0"
-40,95;180;1080;-3;1982;2575;2,72;3,43;50;1;1;2;2;3;"rd";"0"
-40,6;150;1250;-3;1983;2560;18,59;8,26;13;2,5;3,5;2;2;2;"am";"0"
-40,6;150;1250;-3;1983;2571;22,03;19,34;50;4;2,5;3,3;3,3;3;"ov";"1"
-40,6;100;1250;-2;1983;2552;33,35;10,61;33;4,5;4;2,8;3;1,5;"fr";"1"
-41,2;160;1000;-3;1981;1339;10,1;9,5;75;3;3;2;2;2;"fr";"0"
-40,95;180;1080;-3;1981;1111;4,88;4,11;88;3,5;2,5;2;2;2;"bxs";"0"
-41,1333333333333;220;1050;-2;1983;2552;14,89;7,56;50;4;4;2;3;2;"fr";"1"
-39,8333333333333;70;1000;-2;1981;1524;9;6,8;100;2;1,5;2;4;3,5;"rd";"0"
-40,95;180;1080;-3;1981;2431;3,35;5,16;100;3;3;4,5;4;4;"re";"1"
-41,1333333333333;220;1050;-2;1983;2571;13,67;5,24;63;2,5;2;2,5;3,3;3;"ov";"1"
-40,95;180;1080;-3;1981;1787;11,58;8,37;63;4;3,5;4;4;3,5;"re";"1"
-39,8333333333333;70;1000;-2;1981;2459;23,7;13,3;88;5;3;3,5;3,5;2,5;"ob";"1"
-40,95;180;1080;-3;1983;2548;16,25;13,29;13;3;4;4;3,5;3;"fa";"0"
-40,95;180;1080;-3;1981;1596;6,38;5,07;88;3;4;3,5;4;4;"nd";"1"
-41,2;160;1000;-3;1981;1111;6,9;5,6;3;3;3;3;3;2;"bxs";"0"
-40;150;1300;-2;1983;2635;30,75;14,57;20;3,8;4;3,5;4;2,9;"nd";"1"
-40,95;180;1080;-3;1981;2447;11,57;8,41;100;4;3;3,5;3,5;3,5;"fr";"1"
-40,6;150;1250;-3;1983;2571;19,35;17,3;50;2,5;2;3,2;4;4;"ov";"0"
-40;150;1300;-2;1983;2634;39,79;17,49;10;4;4;3,3;2,5;1,5;"nd";"0"
-40,95;180;1080;-3;1983;2575;2,63;4,6;38;2;1,5;3;3;3;"rd";"0"
-40,95;180;1080;-3;1981;2435;3,56;4,27;25;3;3;3;3;3;"si";"0"
-40,95;180;1080;-3;1983;1252;12,96;11,21;88;4;4;2,5;2;2;"cr";"0"
-40,6;150;1250;-3;1983;2569;17,83;11,8;50;3;3;3;4;2,5;"nd";"1"
-40,95;180;1080;-3;1983;2575;13,54;8,81;88;2,7;2;2,5;3;3;"rd";"0"
