"value";"rent";"ftotinc";"eldch";"yngch";"age";"occscore";"sei";"inctot";"incwage";"incbus";"incss";"incwelfr";"incother";"poverty";"gq";"gqtypeg";"farm";"ownershg";"nfams";"ncouples";"nmothers";"nfathers";"momloc";"stepmom";"momrule";"poploc";"steppop";"poprule";"sploc";"sprule";"famsize";"nchild";"nchlt5";"famunit";"nsibs";"relateg";"sex";"raceg";"marst";"chborn";"school";"educrec";"schltype";"empstatg";"labforce";"classwkg";"wkswork2";"hrswork2";"yrlastwk";"workedyr";"incfarm";"migrat5g";"movedin";"vetstat";"binaryClass"
137500;0;52500;99;99;26;20;8;2500;2500;0;0;0;0;296;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"6";"0";"0";"1";"3";"Child";"Male";"White";"Never_married_single";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"14-26_weeks";"40_hours";"Worked_current_yr";"Yes";"0";"Same_house";"0";"No_Service";"P"
999999;487;25107;99;99;32;23;18;4800;4800;0;0;0;0;144;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"1";"0";"Other_relatives";"Male";"White";"Married_spouse_absent";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"14-26_weeks";"35-39_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"0";"No_Service";"P"
4e+05;0;120031;31;31;53;0;0;39731;0;0;0;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"Parent";"Female";"White";"Widowed";"1_child";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_more_than_10_yrs_ago";"No";"0";"Same_house";"0";"No_Service";"P"
162500;0;41626;99;99;0;0;0;0;999999;999999;99999;99999;99999;320;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"2";"1";"2";"0";"1";"1";"0";"1";"0";"0";"4";"0";"0";"1";"0";"Child";"Female";"Other_Asian_or_Pacific";"Never_married_single";"No_children";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
999999;625;36200;2;1;22;22;61;17200;16000;0;0;1200;0;288;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"4";"2";"2";"1";"0";"Spouse";"Female";"White";"Married_spouse_present";"2__children";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"27-39_weeks";"15-29_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"0";"No_Service";"N"
4e+05;0;82603;99;99;74;0;0;73603;0;0;15000;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"0";"1";"0";"Head_Householder";"Male";"White";"Married_spouse_present";"No_children";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_6-10_yrs_ago";"No";"0";"Same_house";"6";"Yes";"P"
999999;412;9135;99;99;36;30;24;16401;16401;0;0;0;0;254;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"Partner_friend_visitor";"Male";"White";"Married_spouse_absent";"No_children";"Yes_in_school";"Grade_12";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"40-47_weeks";"40_hours";"Never_worked";"Yes";"0";"Same_house";"0";"No_Service";"P"
999999;875;24357;3;3;23;24;19;3885;3885;0;0;0;0;140;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"1";"1";"0";"Head_Householder";"Male";"White";"Never_married_single";"No_children";"No_not_in_school";"Grade_5-8";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"14-26_weeks";"15-29_hours";"Never_worked";"Yes";"0";"Same_house";"2";"No_Service";"P"
999999;387;9600;99;99;25;26;22;9600;9600;0;0;0;0;149;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"Head_Householder";"Male";"White";"Never_married_single";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"1";"No_Service";"P"
225000;0;118900;22;19;46;22;51;16000;16000;0;0;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"4";"2";"0";"1";"0";"Spouse";"Female";"White";"Married_spouse_present";"2__children";"Yes_in_school";"1_to_3_years_of_college";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"30-34_hours";"Never_worked";"Yes";"0";"Same_house";"0";"No_Service";"N"
999999;625;27500;99;99;5;0;0;0;999999;999999;99999;99999;99999;219;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"4";"0";"0";"1";"1";"Child";"Male";"White";"Never_married_single";"No_children";"Yes_in_school";"None_or_preschool";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
37500;0;57600;9;9;39;41;68;33600;33600;0;0;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"3";"1";"0";"1";"0";"Head_Householder";"Male";"Chinese";"Married_spouse_present";"No_children";"No_not_in_school";"4+_years_of_college";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"48-49_weeks";"40_hours";"Never_worked";"Yes";"0";"Same_house";"5";"No_Service";"P"
999999;575;19000;99;99;19;18;44;5000;5000;0;0;0;0;229;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"Sibling";"Female";"White";"Never_married_single";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"27-39_weeks";"40_hours";"Worked_current_yr";"Yes";"0";"Moved_place_not_reported";"0";"No_Service";"P"
999999;362;22892;16;2;35;20;8;14822;14822;0;0;0;0;123;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"7";"5";"1";"1";"0";"Spouse";"Male";"White";"Married_spouse_present";"No_children";"No_not_in_school";"Grade_1-4";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"48-49_weeks";"40_hours";"Never_worked";"Yes";"0";"Same_house";"0";"No_Service";"P"
137500;0;46800;12;12;32;0;0;9600;0;0;0;9600;0;182;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"3";"1";"0";"0";"0";"0";"0";"0";"8";"5";"10";"1";"0";"1";"0";"Other_relatives";"Female";"White";"Married_spouse_present";"2__children";"No_not_in_school";"None_or_preschool";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_more_than_10_yrs_ago";"No";"0";"Same_house";"0";"No_Service";"P"
999999;625;11950;99;99;61;0;0;7560;0;0;0;7560;0;117;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"Partner_friend_visitor";"Male";"Black_Negro";"Divorced";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_more_than_10_yrs_ago";"No";"0";"Same_house";"0";"Yes";"P"
187500;0;47972;99;99;81;0;0;19325;0;0;7811;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"Spouse";"Female";"White";"Married_spouse_present";"3";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_more_than_10_yrs_ago";"No";"0";"Same_house";"0";"No_Service";"P"
999999;725;19200;99;99;3;0;0;0;999999;999999;99999;99999;99999;130;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"1";"0";"1";"2";"0";"1";"0";"0";"5";"0";"0";"1";"2";"Child";"Male";"White";"Never_married_single";"No_children";"No_not_in_school";"None_or_preschool";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
225000;0;66100;19;16;42;25;44;30050;30000;0;0;0;0;436;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"5";"3";"0";"1";"0";"Head_Householder";"Male";"White";"Married_spouse_present";"No_children";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"2";"Yes";"P"
275000;0;13000;24;17;60;31;73;13000;13000;0;0;0;0;100;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"4";"2";"0";"1";"0";"Head_Householder";"Male";"White";"Married_spouse_present";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"41-48_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"2";"No_Service";"P"
350000;0;35293;99;99;15;0;0;0;999999;999999;0;0;0;190;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7";"0";"0";"1";"3";"Child";"Female";"Chinese";"Never_married_single";"No_children";"Yes_in_school";"Grade_9";"Private_school_(19601990)";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
999999;875;40000;99;99;10;0;0;0;999999;999999;99999;99999;99999;401;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"2";"0";"1";"1";"3";"1";"0";"0";"3";"0";"0";"1";"0";"Child";"Female";"White";"Never_married_single";"No_children";"Yes_in_school";"Grade_1-4";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
4e+05;0;211686;17;17;50;0;0;700;0;0;0;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"3";"1";"0";"1";"0";"Spouse";"Female";"White";"Married_spouse_present";"3";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_more_than_10_yrs_ago";"No";"0";"Same_house";"0";"No_Service";"P"
4e+05;0;45000;99;99;9;0;0;0;999999;999999;99999;99999;99999;358;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"4";"0";"0";"1";"1";"Child";"Male";"White";"Never_married_single";"No_children";"Yes_in_school";"Grade_1-4";"Private_school_(19601990)";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Same_house";"0";"No_Service";"P"
275000;0;53600;99;99;21;4;27;800;800;0;0;0;0;199;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"2";"2";"2";"4";"0";"1";"3";"0";"1";"0";"0";"9";"0";"0";"1";"2";"Sibling-in-Law";"Female";"Other_Asian_or_Pacific";"Never_married_single";"No_children";"Yes_in_school";"Grade_12";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"14-26_weeks";"15-29_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"0";"No_Service";"P"
187500;0;31000;99;99;13;0;0;0;999999;999999;99999;99999;99999;311;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"Child";"Male";"White";"Never_married_single";"No_children";"Yes_in_school";"Grade_5-8";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
187500;0;73600;99;99;21;50;79;9600;9600;0;0;0;0;501;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"4";"0";"0";"1";"1";"Child";"Male";"Black_Negro";"Never_married_single";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Unemployed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Worked_current_yr";"Yes";"0";"Same_house";"0";"Yes";"P"
162500;0;61700;99;99;21;38;68;12000;12000;0;0;0;0;346;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"2";"1";"1";"2";"0";"1";"1";"0";"1";"6";"2";"6";"0";"0";"1";"2";"Child";"Female";"White";"Married_spouse_present";"No_children";"Yes_in_school";"1_to_3_years_of_college";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"0";"Same_house";"0";"No_Service";"P"
999999;512;0;99;99;3;0;0;0;999999;999999;99999;99999;99999;1;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"4";"0";"0";"1";"1";"Child";"Female";"White";"Never_married_single";"No_children";"No_not_in_school";"None_or_preschool";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
4e+05;0;33515;99;99;2;0;0;0;999999;999999;99999;99999;99999;267;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"4";"0";"0";"1";"1";"Child";"Female";"White";"Never_married_single";"No_children";"No_not_in_school";"1_to_3_years_of_college";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
112500;0;35150;99;99;15;0;0;0;999999;999999;0;0;0;212;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"2";"0";"1";"1";"0";"1";"0";"0";"6";"0";"0";"1";"3";"Child";"Male";"White";"Never_married_single";"No_children";"Yes_in_school";"Grade_9";"Private_school_(19601990)";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Same_house";"0";"No_Service";"P"
4e+05;0;50000;6;3;31;32;39;50000;50000;0;0;0;0;398;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"4";"2";"1";"1";"0";"Head_Householder";"Male";"White";"Married_spouse_present";"No_children";"Yes_in_school";"1_to_3_years_of_college";"Public_school";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"60+_hours";"Never_worked";"Yes";"0";"Moved_place_not_reported";"5";"No_Service";"P"
999999;725;50360;99;99;19;0;0;0;0;0;0;0;0;223;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"1";"0";"Other_relatives";"Male";"White";"Never_married_single";"No_children";"No_not_in_school";"Grade_11";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"No";"0";"Moved_place_not_reported";"0";"No_Service";"P"
999999;1000;11189;99;99;14;0;0;0;999999;999999;99999;99999;99999;55;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"1";"2";"Sibling";"Male";"Black_Negro";"Never_married_single";"No_children";"No_not_in_school";"Grade_11";"Not_enrolled";"Employed";"Yes_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"Yes";"999999";"Moved_place_not_reported";"0";"No_Service";"P"
999999;512;15509;29;29;70;0;0;0;0;0;0;0;0;91;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Rented";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"1";"0";"Parent";"Female";"White";"Separated";"5";"No_not_in_school";"Grade_12";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"No";"0";"Same_house";"0";"No_Service";"P"
4e+05;0;11210;25;25;52;31;65;11000;0;3000;0;0;0;116;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"3";"1";"0";"1";"0";"Head_Householder";"Male";"White";"Married_spouse_present";"No_children";"No_not_in_school";"Grade_12";"Not_enrolled";"Employed";"Yes_in_labor_force";"Self-employed";"50-52_weeks";"40_hours";"Never_worked";"Yes";"0";"Same_house";"6";"Yes";"N"
225000;0;75000;99;99;35;0;0;0;0;0;0;0;0;337;"HH_in_1970_definition_but_sampled_as_larger_unit";"NA_(household)";"Non-Farm";"Owned_or_being_bought_(loan)";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"1";"8";"0";"0";"1";"0";"Child-in-law";"Female";"Other_Asian_or_Pacific";"Married_spouse_present";"2__children";"No_not_in_school";"Grade_12";"Not_enrolled";"Not_in_labor_force";"No_not_in_labor_force";"Works_for_wages_salary";"50-52_weeks";"40_hours";"Never_worked";"No";"0";"Same_house";"0";"No_Service";"P"
