"unit_number";"proof_cut";"viscosity";"ink_temperature";"humifity";"roughness";"blade_pressure";"varnish_pct";"press_speed";"ink_pct";"solvent_pct";"ESA_Voltage";"ESA_Amperage";"wax";"hardener";"roller_durometer";"current_density";"anode_space_ratio";"chrome_content";"timestamp";"customer";"job_number";"grain_screened";"proof_on_ctd_ink";"paper_type";"ink_type";"solvent_type";"type_on_cylinder";"press_type";"press";"cylinder_size";"paper_mill_location";"plating_tank";"band_type"
2;45;43;16;80;0,75;30;3,1;2200;51;45,9;0;0;2,5;1,3;35;5;103,33;3;"19901107";"48";"36166";"2";"3";"4";"1";"1";"1";"3";"828";"4";"3";"1910";"noband"
2;30;50,5016750601386;17;78;0,8125;30;0;1700;58,8;41,2;0;0;2,5;1,2;30;5;106,25;3;"19910917";"22";"37575";"2";"3";"2";"1";"1";"2";"3";"824";"4";"3";"1910";"band"
2;42,5465300883844;40;16,4;72;1;26;0;2000;62,5;37,5;0;0;2,5;1;40;5;106,45;3;"19910311";"48";"27386";"2";"3";"4";"3";"1";"1";"3";"827";"4";"5";"1911";"band"
1;40,010248210923;46;14,2;75;0,75;25;4,32744901006336;2050;52,2995502460079;36,3216509410727;1,60170391734618;0,0205389848540286;2,5;1;30,8056663104515;5;108,1;3;"19941010";"10";"38064";"2";"3";"3";"3";"1";"2";"1";"815";"4";"3";"1910";"band"
9;50;43;15,5;72;0,75;30;5,1;2200;50,6;44,3;0;0;2,5;1,3;35;5;96,77;3;"19901107";"48";"36166";"2";"3";"4";"1";"1";"1";"3";"828";"4";"3";"1910";"noband"
2;40;47;24,5;78;0,875;30;8,8;2100;54,9;36,3;16;0;2,3;1;40;5;100;3;"19910304";"48";"37386";"3";"3";"4";"3";"1";"2";"3";"827";"4";"5";"1910";"band"
1;40;54;15;70;0,677294292958919;32,4338503704594;10;0,147335791868141;50;40;0;0;2,5;0,8;60;1;100;3;"19900824";"23";"34399";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1911";"noband"
2;40;54;14,6;85;0,686777318284342;20;21,7;1850;43,5;34,8;0;0;2,5;0,8;40;4,44318606915823;98,4354338939991;3;"19900606";"65";"25424";"3";"3";"4";"3";"3";"2";"3";"821";"4";"3";"1910";"noband"
1;65;47;12;68;0,732693159253601;31,6652418775382;0;1600;58,8;41,2;0;0;2,8;0,8;40;3;106,25;3;"19900910";"53";"47105";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1911";"noband"
2;30;63;13;94;1;29;0;1800;56,2;43,8;0;0;2,5;1;30;5;110;3;"19910409";"6";"37168";"2";"3";"2";"1";"1";"2";"4";"815";"4";"1";"1911";"band"
2;42;47;16,2;78;0,75;30;0;2100;56,2;43,8;0;0;2,5;1,2;33;5;110;3;"19911211";"34";"37018";"2";"3";"2";"1";"1";"2";"4";"816";"3";"3";"1911";"band"
2;50;43;16;75;1;20;15,8;1600;49,5;34,7;0;0;2,5;1;38;5;103,22;3;"19910117";"38";"35539";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1911";"noband"
2;40;56;17;82;0,75;30;0;2550;52,6;47,4;0;0;2;1;33;5;103,22;3;"19910611";"6";"37177";"2";"3";"2";"1";"1";"2";"3";"828";"4";"1";"1910";"noband"
7;37;65;16;80;0,625;50;6,6;1640;54,9;38,5;3;0;3;1;32;5;103,13;3;"19910724";"66";"35522";"3";"3";"4";"3";"1";"1";"1";"802";"2";"3";"1911";"band"
2;47;67;16;74;0,8125;38;0;1900;58,8;41,2;2;0;2,5;1,1;33;5;103,125;3;"19910517";"64";"35982";"2";"2";"2";"1";"1";"1";"3";"824";"4";"1";"1910";"noband"
7;40;45;14,5;70;0,625;25;0;1500;59,5;40,5;0;0;2;1;40;5;100;3;"19910125";"33";"23052";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1911";"band"
7;45;58;15;72;0,625;25;10,5;2100;52,6;36,8;5;0;2,5;0,8;33;5;103,125;3;"19910727";"6";"37182";"2";"3";"2";"1";"1";"2";"3";"821";"4";"3";"1911";"noband"
7;50;43;14;74;0,625;20;2,2;1800;56,2;41,6;0;0;3;1;38;5;96,875;3;"19901117";"12";"34442";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1910";"band"
2;45;69;15,6;72;0,75;21;5,6;2426;55,6;38,9;0;0;2,85;1,1;30;5;103,22;3;"19910614";"59";"35759";"2";"3";"2";"1";"1";"2";"3";"827";"4";"1";"1910";"noband"
2;45;54;14;90;0,75;30;0;2000;58,8;41,2;0;0;3;1;33;5;103,3;3;"19900812";"63";"34549";"2";"3";"2";"1";"1";"1";"4";"815";"3";"1";"1911";"noband"
7;40;42;15,5;64;0,625;20;10,5;1550;52,6;36,9;0;0;2;0,6;40;5;106,25;3;"19901209";"33";"23048";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1910";"noband"
2;32;47;20;79;0,3125;29;0;2189;58,1;41,9;5;0;2,5;1,25;30;5;100;3;"19901125";"64";"34759";"2";"2";"2";"1";"1";"2";"4";"816";"3";"1";"1910";"noband"
2;40;58;15,5;84;0,375;25;9;2000;52,8;38,2;5;0;3;1,1;35;5;103,125;3;"19910804";"48";"37371";"2";"3";"4";"1";"1";"1";"4";"816";"4";"3";"1910";"noband"
2;40;48;15;75;1;30;0;1720;61,7;38,3;0;0;2,5;3;33;2;103,2;3;"19900426";"63";"34545";"2";"3";"4";"1";"1";"1";"3";"827";"4";"1";"1910";"noband"
7;52;62;14,5;95;0,75;20;0;1950;58,8;41,2;0;0;2;1;38;3;100;3;"19900617";"36";"34093";"3";"3";"4";"2";"1";"1";"3";"821";"4";"3";"1910";"band"
9;49;43;14,5;74;0,75;23;9,1;1900;56,8;34,1;2;0;0,7;0,2;35;5;103,22;3;"19910317";"48";"37355";"2";"3";"4";"1";"1";"2";"4";"816";"4";"3";"1910";"band"
2;43,1112655782155;45;17;84;0,8125;27;5,07262336166002;1865;54,3077423385488;37,6726540533928;1,33730053366229;0,0385620262155709;1,5;0,7;33,3125662694454;5;109,1;2;"19930421";"28";"37392";"2";"3";"4";"3";"1";"2";"3";"824";"4";"3";"1910";"band"
2;47;49;14,5;88;0,625;25;34,5;2000;43,5;22;0;0;2,5;0,7;40;5;96,97;1;"19900926";"65";"25440";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1911";"noband"
2;40;58;17;75;0,05625;30;0;1900;58,8;41,2;0;0;2,6;1,4;30;5;103,225;3;"19910815";"28";"35462";"2";"3";"2";"1";"1";"1";"3";"824";"4";"3";"1910";"band"
2;40;50;16;68;0,8125;30;0;2400;58,8;41,2;8;0;2,5;1,5;33;5;103,125;3;"19910419";"6";"37169";"2";"3";"2";"1";"1";"2";"3";"824";"4";"1";"1911";"noband"
2;65;49;13,5;82;0,625;30;0;1350;68,2;31,8;1;0;2,5;1;38;4;103,2;3;"19900625";"56";"34092";"3";"3";"4";"3";"1";"2";"4";"815";"2";"3";"1910";"band"
2;40;43;15,5;85;0,75;25;4,7;2000;58,1;37,2;0;0;2,5;1;33;5;96,77;3;"19901031";"6";"34588";"2";"3";"2";"1";"1";"1";"4";"815";"4";"1";"1910";"band"
2;50;43;16;70;0,8125;30;3,4;2400;56,8;39,8;0;0;2,5;0,8;30;5;103,125;3;"19910405";"59";"35754";"2";"3";"2";"1";"1";"2";"3";"824";"4";"1";"1910";"noband"
9;35;42;15,5;80;1;26;0;1800;62,5;37,5;3;0;2,5;2;40;5;100;3;"19901209";"62";"35001";"3";"3";"4";"3";"1";"1";"4";"816";"3";"3";"1910";"noband"
2;40;38;16,5;85;0,625;30;4,3;1900;53,2;42,5;0;0;3;1;30;5;103,13;3;"19911104";"64";"35880";"2";"2";"2";"1";"1";"2";"4";"816";"2";"3";"1910";"band"
2;40;40;15,7;85;0,3125;27;4,3;2050;53,2;42,5;1;0;2,5;1,5;30;5;103,13;3;"19911103";"64";"35880";"2";"2";"2";"1";"1";"2";"4";"816";"4";"3";"1910";"band"
7;45;63;15;80;0,75;50;0;1470;58,8;41,2;2;0;3;1;34;5;100;3;"19910817";"62";"35529";"3";"3";"4";"3";"1";"2";"1";"802";"3";"3";"1910";"band"
9;45;55;16,1;82;0,75;30;0;2400;58,8;41,2;0;0;2;0,8;30;7;93,75;3;"19900825";"6";"38013";"2";"3";"4";"1";"1";"2";"3";"824";"4";"3";"1910";"noband"
2;44,3023910551283;56;18,3;80;1;32;5,23249708894334;1900;55,7097787034851;38,6430495031907;1,35554893182363;0,0404182652493541;2,40366152035072;0,988985464284543;34,2387036889448;5;110;3;"19941007";"48";"85813";"2";"3";"3";"3";"1";"2";"3";"827";"4";"3";"1910";"band"
5;60;43;15;94;1;32,5446577572519;9,5;1500;52,6;37,9;0;4;2,5;1;40;3;100;3;"19900418";"29";"36858";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1910";"band"
7;55;49;15;78;0,625;20;17,1;1900;47,6;35,2;0;0;2,5;0,85;34;5;106,45;3;"19910422";"65";"25513";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1910";"band"
2;40;55;15,4;80;0,8125;30;10,2;2400;51;38,8;0;0;1,7;0,7;30;7;93,75;3;"19900825";"6";"38013";"2";"3";"4";"1";"1";"2";"3";"824";"4";"3";"1910";"noband"
2;37;50;15,5;95;0,625;26;0;2350;62,5;37,5;1;0;2,6;0,6;30;5;106,45;3;"19901218";"63";"34556";"2";"3";"2";"1";"1";"2";"4";"816";"3";"1";"1910";"noband"
7;52;64;15,5;82;0,625;30;0;1800;71,4;28,6;4;0;2,5;0,9;34;5;103,125;3;"19910430";"65";"25519";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1910";"band"
2;50;42;15,5;73;0,625;20;3,6;1800;60,2;36,2;0;0;2,5;0,9;34;5;106,25;3;"19901206";"65";"25450";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1910";"noband"
2;47;68;16;80;0,75;30;0;2250;58,8;41,2;0;0;1,5;1;35;5;106,45;3;"19910604";"48";"37365";"2";"3";"4";"1";"1";"2";"3";"828";"4";"4";"1910";"noband"
2;47;68;14;78;0,75;22;0;1900;62,5;37,5;0;0;2,1;1,7;33;5;103,125;3;"19910511";"63";"35816";"2";"3";"2";"1";"1";"2";"3";"827";"3";"1";"1910";"band"
2;55;48;18;76;0,25;24;10;1600;60;30;0;0;3;0,9;35;5;93,55;1;"19901001";"48";"36197";"2";"3";"4";"3";"1";"2";"4";"816";"4";"2";"1910";"band"
7;60;53;14,7;70;0,75;50;20,2;1550;42;37,8;3;0;3;1;40;3;111,1;3;"19900727";"58";"36644";"3";"3";"4";"3";"1";"1";"1";"802";"2";"3";"1910";"noband"
1;50;68;13,4;70;0,729729677856187;31,3095413928247;20,4;1700;46,3;33,3;0;0;2,5;1;40;5;106,45;3;"19910528";"53";"47203";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1910";"band"
6;50;53;16,5;90;0,75;31,7967049021559;11,3;1300;51,5;37,1;0;0;2,5;0,7;28;3;100;3;"19900614";"25";"34397";"3";"3";"4";"3";"1";"2";"2";"813";"2";"2";"1910";"noband"
9;40;64;15,5;85;1;26;0;2400;58,8;41,2;0;0;2,5;1;30;5;103,125;3;"19910430";"27";"35458";"2";"3";"2";"1";"1";"2";"4";"816";"4";"1";"1910";"noband"
2;45;58;15;75;0,625;20;10,5;2100;52,6;36,8;0;0;2,5;0,7;33;5;103,125;3;"19910727";"6";"37182";"2";"3";"2";"1";"1";"2";"3";"821";"4";"3";"1911";"noband"
1;35;72;15,2;72;1;36;0;2200;65,2;34,8;0;0;2,5;1;30;5;93,6;1;"19900921";"63";"34551";"2";"3";"2";"1";"1";"2";"4";"815";"3";"1";"1910";"band"
2;50;46;16,5;75;0,75;30;0;2600;62,5;37,5;6;0;2,5;0,6;30;5;106,67;3;"19910111";"59";"35751";"2";"3";"2";"1";"1";"2";"3";"827";"4";"1";"1911";"noband"
2;35;59;16,1;82;0,729152193578995;28;0;2500;58,8;41,2;0;0;2,5;1,3;30;5;100;3;"19910730";"59";"35761";"2";"3";"2";"1";"1";"2";"3";"828";"4";"3";"1910";"noband"
9;42;48;15;76;0,875;30;3,6;2050;60,2;36,2;0;0;2,5;1;30;5;93,55;1;"19901001";"64";"34754";"2";"2";"2";"1";"1";"1";"3";"824";"4";"1";"1910";"noband"
2;40;49;15,3;74;1;34;0;2000;62,5;37,5;0;0;2,2;1;35;5;100;3;"19910323";"48";"37355";"2";"3";"2";"1";"1";"2";"3";"828";"4";"3";"1911";"noband"
9;40;62;13,7;91;0,375;32;5,6;2300;55,6;38,9;2;0;2,5;1;33;5;100;3;"19910719";"63";"88231";"2";"3";"2";"1";"1";"2";"4";"816";"3";"3";"1910";"noband"
9;55;49;15,6;74;0,75;24;0;1650;58,8;41,2;0;0;2,5;1,7;33;5;103,33;3;"19910322";"44";"38051";"2";"3";"4";"1";"1";"2";"4";"816";"4";"3";"1910";"noband"
9;52;43;16,6;58;0,75;20;7,9;1480;56,2;36;0;0;1,7;0,7;33;5;103,12;3;"19910214";"45";"35794";"2";"3";"4";"1";"1";"2";"3";"827";"4";"3";"1911";"noband"
7;50;45;12;70;0,75;60;0;1650;60,2;39,8;1;0;3;1;40;5;103,22;3;"19910112";"53";"47201";"3";"3";"4";"3";"3";"2";"1";"802";"2";"3";"1910";"band"
9;45;65;16,3;78;0,75;32;3,4;1700;56,8;39,8;4;0;2,5;1;34;5;106,45;3;"19910626";"51";"37938";"3";"3";"4";"3";"1";"1";"4";"816";"2";"3";"1910";"band"
2;52,960399219723;59;14,2;80;1;20;5,6;1,0839427562867;55,6;38,9;0;0;2;2,5;33;5;106,45;3;"19910415";"48";"32360";"2";"3";"4";"1";"1";"2";"3";"827";"4";"3";"1910";"noband"
2;35;43;14;75;1,25;20;7,6;0,891019432799808;54,3;38;0;0;2,5;2;33;5;106,66;3;"19910402";"63";"35814";"2";"3";"4";"1";"1";"2";"3";"827";"3";"1";"1911";"noband"
9;41,3458302676706;60;14,9;76;1;30;4,01725547320149;2500;56,3146633856625;39,1585713380346;2,08626516422292;0,00299402703028052;0,5;0,5;31,7016375871938;5;112,5;3;"19940927";"27";"38240";"2";"3";"4";"3";"1";"2";"3";"828";"4";"3";"1911";"band"
7;60;50;14,5;70;0,75;45;15,6;1650;45,8;38,5;2;0;2,5;1;40;5;100;3;"19900909";"53";"47103";"3";"3";"4";"3";"1";"1";"1";"802";"2";"3";"1911";"noband"
5;50;56;14,6;74;0,75;30,7223875794698;7,5;1400;53,8;38,7;0;4;2,4;0,8;40;5;96,8;3;"19900710";"53";"47104";"3";"3";"4";"3";"3";"2";"2";"813";"2";"3";"1911";"noband"
9;40;40;18,5;85;0,5625;30;0;1900;62,5;37,5;4;0;1,8;1,4;40;5;106,45;3;"19910311";"48";"37386";"3";"3";"4";"3";"1";"2";"3";"824";"4";"5";"1911";"band"
7;55;50;17;89;1;22;10,4;1650;52,1;37,5;0;0;2,5;1,1;34;5;93,55;1;"19901003";"65";"25441";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1910";"band"
7;25;38;14;70;0,625;25;0;1600;58,8;41,2;5;0;1,7;0,9;30;5;103,12;3;"19910215";"17";"37441";"2";"3";"2";"1";"1";"2";"3";"821";"4";"1";"1911";"noband"
9;40;54;15;72;0,75;35;0;2500;58,5;41,5;0;0;2,1;1,1;30;5;100;3;"19900719";"69";"36066";"2";"3";"2";"1";"1";"2";"3";"827";"4";"1";"1911";"noband"
7;35;41;16,66;78;0,75;50;7,6;1490;54,3;38;0;0;3;1;35;5;106,7;3;"19911124";"11";"37970";"2";"3";"4";"1";"1";"2";"1";"802";"2";"3";"1911";"noband"
7;45;36;14;76;0,625;20;4,76457569118122;1700;50,336375282845;34,9130184807928;1,2041041356412;0,0376142901084323;2;0,9;31,0203460303391;5;100;3;"19920317";"48";"34518";"2";"3";"4";"1";"1";"1";"3";"821";"4";"3";"1911";"band"
7;50;55;13,34;74;0,625;30,9489044485178;4,8;1635;59,5;35,7;1;0;3;2;40;5;100;3;"19910507";"53";"47203";"3";"3";"4";"3";"1";"1";"1";"802";"2";"3";"1910";"noband"
2;40;62;16;80;0,8125;40;0;2250;62,5;37,5;0;0;2,5;0,7;30;5;110;3;"19910609";"27";"35460";"2";"3";"2";"1";"1";"1";"3";"824";"4";"1";"1910";"band"
2;55;46;17;78;0,75;20;13,1;1700;50,5;36,4;0;0;2,5;1;34;5;105;3;"19910108";"65";"25503";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1911";"band"
2;57;51;15,6;81;0,75;25;9,8;1850;49;41,2;0;0;2,7;0,6;34;1;100;3;"19900831";"65";"25437";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1911";"noband"
9;50;40;15;72;0,75;30;0;2233;58,8;41,2;8;0;1,5;1;33;5;106,45;3;"19901211";"6";"34590";"2";"3";"2";"1";"1";"2";"3";"827";"4";"1";"1910";"noband"
2;32;42;16;70;0,625;46;0;1350;60,2;39,8;0;0;3;1;34;5;100;3;"19901209";"3";"27490";"2";"3";"4";"1";"1";"1";"1";"802";"2";"3";"1910";"noband"
9;45;42;16;83;0,625;30;0;1950;58,8;41,2;0;0;2,5;1;40;5;106,45;3;"19901212";"7";"38121";"3";"3";"4";"3";"1";"1";"4";"815";"2";"1";"1910";"band"
2;43,2872445973597;56;15,1;78;0,5;29;5,75185919672835;1320;51,2424823242402;35,4734927517496;0,71834538061338;0,0651252823069855;2,5;0,966773343526961;33,6402518360369;5;96,9;3;"19920712";"42";"36568";"2";"3";"3";"3";"1";"2";"1";"816";"2";"3";"1911";"band"
2;44,6929163330481;56;14;91;1,125;27;5,59648511151996;1650;54,6142957125456;37,8479543047228;1,0661016187746;0,0535203092568973;3;1,5;34,6330509229704;5;100;2;"19930908";"53";"47405";"2";"3";"2";"1";"1";"2";"1";"815";"2";"3";"1911";"band"
2;27;41;17,58;80;0,75;50;3,4;1490;56,8;39,8;0;0;3;1;35;5;103,125;3;"19911124";"11";"37970";"2";"3";"4";"1";"1";"2";"1";"802";"2";"3";"1910";"noband"
1;40;44;15;68;0,75;29,2030297542784;0;1750;58,8;41,2;0;0;2,7;0,7;35;5;103,125;3;"19910406";"11";"37822";"2";"3";"4";"1";"1";"2";"2";"813";"2";"3";"1910";"noband"
7;42,2458266268138;50;15,7;82;0,694643644277889;30;4,94407628044621;1850;53,3508902166971;37,0118513169579;1,33578725773673;0,0367166282394348;2,29183233197892;0,943043688723523;32,6360542899972;5;103,22;3;"19920911";"48";"34534";"2";"3";"3";"3";"1";"2";"3";"821";"3";"3";"1911";"band"
7;35;38;12;62;0,75;46;4,7;1400;58,8;36,5;0;0;2;1;28;5;103,125;3;"19910215";"60";"37869";"2";"3";"4";"1";"1";"2";"1";"802";"2";"3";"1911";"noband"
2;60;50;14,9;88;0,375;32;10,3;1700;51,5;38,1;5;0;3;1,3;40;5;103,3;3;"19900909";"53";"47105";"3";"3";"4";"3";"1";"1";"4";"816";"2";"3";"1910";"noband"
9;65;42;17,5;100;1,125;25;17,5;2250;48,5;34;0;0;2,5;1;40;5;100;3;"19901031";"48";"36165";"3";"3";"4";"3";"1";"1";"3";"828";"4";"3";"1910";"noband"
9;62;47;17;75;0,75;30;14,3;1700;47,6;38,1;0;0;3;0,5;40;5;96,9;3;"19900702";"72";"34367";"3";"3";"4";"3";"1";"2";"4";"816";"4";"3";"1911";"band"
7;38,9172623725803;44;16,22;74;0,75;30;3,96376855124506;2200;52,0960467915106;36,2064796398089;1,79069741061092;0,0101352147094101;2,8;0,8;29,8926707367096;5;106,6;2;"19930309";"48";"85725";"2";"3";"3";"3";"1";"2";"3";"821";"4";"3";"1910";"band"
9;35;68;15,1;90;0,875;30;6;1500;59,5;34,5;1;0;2,5;1;35;5;106,89;3;"19910604";"48";"37305";"2";"3";"4";"1";"1";"2";"4";"815";"4";"4";"1911";"band"
2;50;42;15;90;1;35;0;1650;55,5;44,5;0;0;2,5;1;38;5;100;3;"19901206";"50";"36805";"3";"3";"4";"2";"1";"2";"4";"815";"4";"2";"1910";"band"
9;37;40;14;80;0,25;24;0;2400;58,8;41,2;2;0;2,5;0,8;30;5;106,45;3;"19901212";"63";"34556";"2";"3";"2";"1";"1";"2";"4";"816";"3";"1";"1910";"noband"
7;45;45;14,7;75;0,625;30;15;1734;50;35;2;0;1,5;0,6;34;5;103,22;3;"19910319";"65";"25513";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1911";"band"
2;40;46;15;68;0,75;28;0;1700;58,8;41,2;0;0;1;1;33;5;103,22;3;"19910220";"64";"35870";"2";"2";"2";"1";"1";"1";"3";"824";"4";"1";"1910";"noband"
7;55;56;15;84;0,625;25;16,7;1850;52,1;31,3;4;0;2;0,6;34;5;103,125;3;"19910426";"35";"37994";"3";"3";"4";"3";"1";"1";"3";"821";"4";"3";"1911";"band"
2;37;44;16;90;0,75;28;20;2050;45;35;0;0;2,4;0,8;35;5;107,4;3;"19910206";"48";"37352";"2";"3";"4";"1";"1";"2";"4";"815";"4";"3";"1911";"noband"
2;40;39;15;77;0,75;20;9,4;2000;52,1;38,5;0;0;2,5;1;40;5;103,22;3;"19910301";"48";"37386";"3";"3";"4";"3";"1";"2";"3";"827";"4";"5";"1910";"noband"
7;42,4577916511979;56;14,1;82;0,625;40;5,03956075127789;1800;53,265796451177;36,9450214060027;1,27547301282525;0,0397349100513386;2,5;0,9;32,8203781252009;5;96,9;3;"19920920";"48";"34534";"2";"3";"3";"3";"1";"2";"3";"821";"3";"3";"1910";"band"
2;38,7075345448318;46;16;72;0,5;32;0;1673;58,8;41,2;0;0;2,5;1,5;30;4,10373827763501;91,0306945695412;2,56602207954591;"19900920";"22";"34749";"2";"3";"2";"1";"1";"1";"4";"816";"4";"1";"1910";"band"
2;40;62;14,9;80;0,5;28;3,4;2303;56,8;39,8;2;0;2,5;0,6;33;5;100;3;"19910719";"63";"88231";"2";"3";"2";"1";"1";"2";"4";"816";"3";"3";"1910";"noband"
9;57;55;14;86;0,75;30;13;1700;50;37;0;0;2,9;0,9;34;3;100;3;"19900622";"16";"38025";"3";"3";"4";"3";"1";"1";"4";"815";"2";"3";"1910";"noband"
2;60;60;14;76;0,375;30;10,3;1900;51,5;38,1;5;0;2,6;1,1;40;5;103,3;3;"19900915";"53";"47105";"3";"3";"4";"3";"1";"2";"4";"816";"2";"3";"1910";"noband"
7;67;50;16,5;73;0,875;20;18,1;1800;47,6;34,3;0;0;2,5;0,8;34;5;110,71;3;"19901219";"65";"25452";"3";"3";"4";"3";"1";"2";"3";"821";"4";"3";"1910";"band"
2;35;55;15;70;0,5;35;0;2000;58,8;41,2;0;0;2,5;1,5;30;3;100;3;"19900805";"68";"34493";"2";"3";"2";"1";"1";"1";"4";"816";"4";"3";"1910";"band"
9;40;50;16;70;0,5625;30;0;2400;58,8;41,2;8;0;1,5;0,5;33;5;103,125;3;"19910419";"6";"47169";"2";"3";"2";"1";"1";"2";"3";"824";"4";"1";"1911";"noband"
2;50;47;15;80;0,625;28;0;1750;59;41;0;0;1;1;38;5;91,89;3;"19920105";"18";"34250";"3";"3";"4";"2";"1";"1";"4";"816";"2";"3";"1911";"band"
2;40;52;16;86;0,75;26;9,6;1975;53,2;37,2;1;0;2,9;1,3;33;5;100;3;"19910503";"63";"35816";"2";"3";"2";"1";"1";"2";"4";"815";"3";"1";"1910";"band"
5;45;56;16;64;0,75;29,6746040333132;11,1;1350;55,5;33,3;0;0;2,5;0,5;28;5;103,3;3;"19900819";"26";"38016";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1911";"noband"
6;47;62;15;84;0,697048973090727;33,3790463960095;5,6;0,527499033921194;56,2;38,2;0;0;2,5;1;35;5;96,7;3;"19900608";"43";"36649";"2";"3";"2";"1";"1";"2";"2";"813";"2";"4";"1911";"noband"
2;30;50;16,1;79;0,625;25;5,70993602425864;1400;52,0354815337351;36,0323358838312;0,80316145573964;0,0622357857347298;2,5;1;33,8614370214474;5;106;3;"19920408";"11";"37998";"2";"3";"4";"1";"1";"2";"4";"815";"4";"3";"1910";"band"
5;55;47;13;70;0,711662144123618;30,6581366764228;14,1;1600;50,5;35,3;0;0;2,5;0,5;40;3;106,25;3;"19900910";"53";"47105";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1911";"noband"
10;40;54;14,42;87;1;30,9843691374721;4,5;1700;56,2;39,3;0;0;2,5;1;40;2;96,8;3;"19900507";"53";"47103";"2";"3";"2";"1";"1";"2";"2";"813";"2";"3";"1910";"noband"
