"duration";"wage.increase.first.year";"wage.increase.second.year";"wage.increase.third.year";"working.hours";"standby.pay";"shift.differential";"statutory.holidays";"cost.of.living.adjustment";"pension";"education.allowance";"vacation";"longterm.disability.assistance";"contribution.to.dental.plan";"bereavement.assistance";"contribution.to.health.plan";"class"
2;5;4,5;4,68249357668826;38;14;5;11;"none";"none";"no";"below_average";"yes";"half";"yes";"full";"good"
2;2,5;3;2,58251179391517;40;2,8585540853113;-3,15551036728703;11;"tcf";"none";"no";"below_average";"yes";"half";"yes";"full";"bad"
3;3,5;4;5,1;37;6,01100281972351;4;13;"tcf";"none";"no";"generous";"yes";"full";"yes";"full";"good"
3;5;5;5;40;7,80160110148146;7,80909392047282;12;"none";"none";"no";"average";"yes";"half";"yes";"half";"good"
3;4,5;4,5;5;40;6,82556994451414;5,68508090023485;11;"none";"none";"no";"average";"yes";"half";"yes";"full";"good"
2;4;5;3,81309788903717;40;5,63183494329359;3;10;"none";"none";"no";"below_average";"no";"none";"yes";"none";"bad"
2;2,5;2,5;2,68154459985784;39;3,13341965721313;-2,37000006999956;12;"tc";"empl_contr";"no";"average";"yes";"half";"yes";"full";"bad"
3;2;2,5;2,36094356724838;35;2,71961352693471;-2,30157925858863;10;"none";"none";"no";"average";"yes";"half";"yes";"full";"bad"
3;5;4,4;4,54014090978011;38;10;6;11;"none";"empl_contr";"no";"generous";"yes";"half";"yes";"full";"good"
2;4,5;5,8;4,71832329057988;35;7,98607855752055;9,39439809089319;11;"none";"ret_allw";"yes";"below_average";"yes";"full";"yes";"full";"good"
1;5;3,75189483379537;3,63174971883065;40;5,20903058079135;2;11;"none";"none";"no";"average";"yes";"half";"yes";"full";"good"
1;2;2,55894122682183;2,31079749049368;38;2,39050229580318;-3,74125442844587;11;"none";"none";"yes";"average";"no";"none";"no";"none";"bad"
3;6;6;4;35;9,9060397263018;14;9;"none";"none";"no";"generous";"yes";"full";"yes";"full";"good"
3;2;2;2;40;1,20798054684872;-6,79476628025238;10;"none";"none";"no";"below_average";"yes";"half";"yes";"full";"bad"
2;5,7;4,5;4,23673908790019;40;6,56158727713955;5,0926070738235;11;"none";"ret_allw";"no";"average";"yes";"full";"yes";"full";"good"
3;2;2,5;2;37;2,07019620113239;-4,19976309807338;10;"none";"empl_contr";"no";"average";"yes";"half";"yes";"none";"bad"
2;4,5;4;3,60285652659334;40;5,16081516008909;2;10;"none";"none";"no";"below_average";"no";"half";"yes";"half";"bad"
3;4;3,5;4,36090637704804;40;6,85267281155337;6;11;"none";"empl_contr";"no";"average";"yes";"full";"yes";"full";"good"
3;4;5;5;32,9442230138193;9,83355105740264;14,0362365758189;12;"tc";"empl_contr";"no";"generous";"yes";"none";"yes";"half";"good"
2;4;4;3,77440218872717;40;5,5503561905721;3;10;"none";"none";"no";"below_average";"no";"none";"yes";"none";"bad"
2;3;3;3,42081785267363;33;5,20176574311477;3,58425935537417;12;"none";"none";"yes";"generous";"yes";"half";"yes";"full";"good"
2;4,5;4,5;5,1176350600321;27,4088708482249;9,44617321411314;14,4916034042953;10;"tcf";"none";"yes";"below_average";"yes";"none";"yes";"half";"good"
3;2;2,5;2,1;40;2;1;10;"tc";"none";"no";"below_average";"no";"half";"yes";"full";"bad"
2;3;7;7,6558334362628;38;12;25;11;"none";"none";"yes";"below_average";"yes";"half";"yes";"full";"good"
1;2,1;3,53833140668696;3,40522054792422;40;2;3;9;"tc";"ret_allw";"no";"below_average";"yes";"half";"yes";"none";"bad"
